,PLAYER,AFFILIATION,OVERALL PICK,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,HEIGHT,WEIGHT,POSITION,ROTY,CENTER,FORWARD,GUARD,ROOKIE
808,Isaiah Todd,Ignite (G League),31,WAS,12,6.2,1.7,0.6,2.2,26.9,0.3,1.3,25.0,0.2,0.5,33.3,0.3,0.8,1.0,0.3,0.3,0.3,0.2,0.3,2.06,99.0,Forward,0,0,1,0,0
809,Jeremiah Robinson-Earl,Villanova,32,OKC,49,22.2,7.5,2.7,6.6,41.4,1.2,3.4,35.2,0.8,1.1,74.1,1.5,4.1,5.6,1.0,0.8,0.6,0.3,1.5,2.03,110.0,Forward,0,0,1,0,0
810,Herbert Jones,Alabama,35,NOP,78,29.9,9.5,3.5,7.4,47.6,0.7,2.2,33.7,1.8,2.1,84.0,1.3,2.5,3.8,2.1,1.3,1.7,0.8,3.1,2.01,93.0,Forward,0,0,1,0,0
811,Miles McBride,West Virginia,36,NYK,40,9.3,2.2,0.8,2.7,29.6,0.4,1.7,25.0,0.2,0.3,66.7,0.1,1.0,1.1,1.0,0.1,0.4,0.0,1.1,1.85,88.0,Guard,0,0,0,1,0
812,JT Thor,Auburn,37,CHA,33,7.9,2.0,0.7,1.7,43.6,0.2,0.8,25.9,0.4,0.6,60.0,0.3,1.0,1.3,0.6,0.3,0.2,0.3,0.8,2.06,92.0,Forward,0,0,1,0,0
813,Ayo Dosunmu,Illinois,38,CHI,77,27.4,8.8,3.6,6.9,52.0,0.9,2.4,37.6,0.7,1.0,67.9,0.4,2.4,2.8,3.3,1.4,0.8,0.4,2.4,1.93,91.0,Guard,0,0,0,1,0
814,Neemias Queta,Utah State,39,SAC,15,8.0,3.0,1.1,2.5,44.7,0.0,0.0,0.0,0.7,1.1,64.7,0.9,1.1,2.1,0.4,0.4,0.1,0.5,1.2,2.13,112.0,Center,0,1,0,0,0
815,Jared Butler,Baylor,40,UTA,42,8.6,3.8,1.5,3.6,40.4,0.7,2.1,31.8,0.3,0.4,68.8,0.1,1.0,1.1,1.5,0.8,0.4,0.2,1.1,1.91,88.0,Guard,0,0,0,1,0
816,Joe Wieskamp,Iowa,41,SAS,29,7.1,2.1,0.7,1.9,35.7,0.5,1.5,32.6,0.2,0.4,53.8,0.1,0.3,0.5,0.3,0.1,0.1,0.1,0.5,1.98,93.0,Guard-Forward,0,0,1,1,0
817,Isaiah Livers,Michigan,42,DET,19,20.2,6.4,2.2,4.7,45.6,1.4,3.4,42.2,0.6,0.7,85.7,0.8,2.2,3.0,1.1,0.8,0.7,0.4,1.9,1.98,105.0,Forward,0,0,1,0,0
818,Greg Brown III,Texas,43,POR,48,13.3,4.7,1.7,4.0,42.6,0.4,1.3,31.1,0.9,1.4,67.7,0.8,2.0,2.8,0.7,0.8,0.5,0.5,1.9,2.01,93.0,Forward,0,0,1,0,0
819,Kessler Edwards,Pepperdine,44,BKN,48,20.6,5.9,2.3,5.6,41.2,1.0,2.8,35.3,0.3,0.4,84.2,0.9,2.7,3.6,0.6,0.9,0.6,0.5,1.8,2.01,92.0,Forward,0,0,1,0,0
820,Dalano Banton,Nebraska,46,TOR,64,10.9,3.2,1.3,3.2,41.1,0.2,0.8,25.5,0.4,0.7,59.1,0.6,1.3,1.9,1.5,0.8,0.4,0.2,1.1,2.01,93.0,Forward,0,0,1,0,0
821,David Johnson,Louisville,47,TOR,2,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,92.0,Guard,0,0,0,1,0
822,Sharife Cooper,Auburn,48,ATL,13,3.0,0.5,0.2,1.1,21.4,0.1,0.5,16.7,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0,0.1,1.85,80.0,Guard,0,0,0,1,0
823,Brandon Boston,Kentucky,51,LAC,51,14.9,6.7,2.5,6.4,38.5,0.7,2.2,30.6,1.2,1.4,81.9,0.3,1.8,2.2,1.0,0.6,0.5,0.3,0.8,1.98,85.0,Guard,0,0,0,1,0
824,Luka Garza,Iowa,52,DET,32,12.2,5.8,2.1,4.6,44.9,0.5,1.5,32.7,1.2,1.9,62.3,1.8,1.3,3.1,0.6,0.6,0.3,0.2,1.7,2.08,110.0,Center,0,1,0,0,0
825,Charles Bassey,Western Kentucky,53,PHI,23,7.3,3.0,1.3,2.0,63.8,0.0,0.2,0.0,0.4,0.5,75.0,1.0,1.7,2.7,0.3,0.3,0.2,0.7,1.4,2.06,104.0,Center-Forward,0,1,1,0,0
826,Sandro Mamukelashvili,Seton Hall,54,MIL,41,9.9,3.8,1.4,2.8,49.6,0.5,1.3,42.3,0.4,0.5,81.8,0.9,1.1,2.0,0.5,0.4,0.2,0.2,0.7,2.06,109.0,Forward-Center,0,1,1,0,0
827,Aaron Wiggins,Maryland,55,OKC,50,24.2,8.3,3.1,6.7,46.3,0.8,2.8,30.4,1.2,1.7,72.9,1.0,2.5,3.6,1.4,1.1,0.6,0.2,1.9,1.93,86.0,Guard,0,0,0,1,0
828,Scottie Lewis,Florida,56,CHA,2,3.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.96,84.0,Guard,0,0,0,1,0
829,Jericho Sims,Texas,58,NYK,41,13.5,2.2,1.0,1.3,72.2,0.0,0.0,0.0,0.3,0.7,41.4,1.5,2.6,4.1,0.5,0.5,0.3,0.5,1.6,2.06,113.0,Center,0,1,0,0,0
830,Paolo Banchero,Duke,1,Orlando Magic,39.0,33.0,17.2,6.3,13.2,47.8,1.1,3.3,33.8,3.5,4.8,72.9,1.7,6.1,7.8,3.2,2.4,1.1,0.9,1.9,2.08,113.0,Forward,0,0,1,0,1
831,Chet Holmgren,Gonzaga,2,Oklahoma City Thunder,32.0,26.9,14.1,5.3,8.8,60.7,1.3,3.3,39.0,2.2,3.1,71.7,1.8,8.1,9.9,1.9,1.9,0.8,3.7,2.7,2.13,88.0,Center-Forward,0,1,1,0,1
832,Jabari Smith Jr.,Auburn,3,Houston Rockets,34.0,28.8,16.9,5.4,12.6,42.9,2.3,5.5,42.0,3.9,4.8,79.9,0.9,6.5,7.4,2.0,1.9,1.1,1.0,2.1,2.08,100.0,Forward,0,0,1,0,1
833,Keegan Murray,Iowa,4,Sacramento Kings,31.0,17.9,7.2,2.7,5.4,50.6,0.5,1.7,29.6,1.3,1.7,75.5,1.6,3.5,5.1,0.5,0.6,0.8,1.3,1.9,2.03,102.0,Forward,0,0,1,0,1
834,Jaden Ivey,Purdue,5,Detroit Pistons,24.0,23.2,10.7,3.7,9.3,39.9,1.0,4.0,25.8,2.2,3.0,72.6,0.8,2.4,3.2,1.8,1.3,0.7,0.7,1.6,1.93,88.0,Guard,0,0,0,1,1
835,Bennedict Mathurin,Arizona,6,Indiana Pacers,26.0,24.9,10.8,3.4,7.2,47.1,1.5,3.5,41.8,2.5,3.0,84.6,1.2,3.5,4.8,1.2,1.2,0.7,0.1,1.7,2.01,95.0,Guard-Forward,0,0,1,1,1
836,Jeremy Sochan,Baylor,9,San Antonio Spurs,30.0,25.1,9.2,3.3,7.0,47.4,0.8,2.7,29.6,1.8,3.0,58.9,2.0,4.4,6.4,1.8,1.6,1.3,0.7,2.3,2.06,104.0,Forward,0,0,1,0,1
837,Johnny Davis,Wisconsin,10,Washington Wizards,31.0,24.3,7.0,2.8,6.3,44.1,0.5,1.2,38.9,1.0,1.4,72.7,1.1,3.0,4.1,1.1,1.1,1.1,0.6,2.1,1.96,88.0,Guard,0,0,0,1,1
838,Jalen Williams,Santa Clara,12,Oklahoma City Thunder,33.0,25.5,7.7,2.7,6.2,43.6,0.9,2.7,35.2,1.4,1.8,76.3,0.3,2.5,2.8,1.9,1.1,1.3,0.5,2.6,1.98,88.0,Guard-Forward,0,0,1,1,1
839,Jalen Duren,Memphis,13,Charlotte Hornets,29.0,25.3,12.0,4.9,8.1,59.7,0.0,0.0,0.0,2.2,3.6,62.5,3.0,5.2,8.1,1.3,2.2,0.8,2.1,2.7,2.11,113.0,Center,0,1,0,0,1
840,Ochai Agbaji,Kansas,14,Cleveland Cavaliers,22.0,25.8,8.5,3.2,7.1,44.9,1.0,3.4,30.7,1.1,1.6,69.4,1.0,3.6,4.6,0.9,1.4,0.5,0.5,2.0,1.96,98.0,Guard,0,0,0,1,1
841,Mark Williams,Duke,15,Charlotte Hornets,23.0,15.2,7.1,3.1,4.7,66.4,0.0,0.0,-,1.0,1.8,53.7,1.9,2.6,4.5,0.7,0.9,0.6,1.4,1.5,2.13,109.0,Center,0,1,0,0,1
842,Tari Eason,Louisiana State,17,Houston Rockets,23.0,19.6,7.3,2.9,6.3,46.2,0.3,1.3,24.1,1.2,2.0,57.4,2.3,3.7,5.9,1.3,2.2,1.2,1.3,2.6,2.03,98.0,Forward,0,0,1,0,1
843,Dalen Terry,Arizona State,18,Chicago Bulls,26.0,20.8,4.6,1.5,3.6,41.5,0.5,1.7,32.6,1.0,1.7,61.4,0.8,2.4,3.2,1.5,1.2,0.7,0.4,2.3,2.01,88.0,Forward,0,0,1,0,1
844,Jake LaRavia,Wake Forest,19,Minnesota Timberwolves,30.0,24.7,9.4,3.7,7.0,52.9,0.4,0.9,40.7,1.7,2.7,62.5,2.6,3.3,5.9,1.6,1.8,0.5,1.2,3.2,2.03,107.0,Forward,0,0,1,0,1
845,Malaki Branham,Ohio State,20,San Antonio Spurs,32.0,29.7,13.7,5.0,10.0,49.8,1.2,2.8,41.6,2.5,3.0,83.3,0.8,2.8,3.6,2.0,1.7,0.7,0.3,1.8,1.96,82.0,Forward,0,0,1,0,1
846,Christian Braun,Kansas,21,Denver Nuggets,31.0,18.4,5.3,1.8,4.2,43.1,1.0,2.3,44.4,0.6,0.8,73.1,0.7,2.2,2.9,0.5,0.4,0.7,0.2,1.3,1.98,100.0,Guard,0,0,0,1,1
847,Walker Kessler,Auburn,22,Memphis Grizzlies,29.0,8.7,4.4,1.8,3.1,57.8,0.0,0.1,25.0,0.8,1.4,53.7,1.6,1.7,3.2,0.3,0.6,0.5,0.9,1.2,2.16,111.0,Center,0,1,0,0,1
848,David Roddy,Colorado State,23,Philadelphia 76ers,32.0,25.6,11.4,4.1,8.8,46.5,0.5,2.4,19.5,2.8,3.7,73.9,1.7,3.9,5.6,1.8,2.0,0.6,0.8,2.4,1.98,116.0,Forward,0,0,1,0,1
849,Blake Wesley,Notre Dame,25,San Antonio Spurs,35.0,29.3,14.4,5.1,12.6,40.4,1.5,5.1,30.3,2.7,4.1,65.7,0.7,3.0,3.7,2.4,2.2,1.3,0.1,1.9,1.96,84.0,Guard,0,0,0,1,1
850,Wendell Moore Jr.,Duke,26,Dallas Mavericks,25.0,24.0,7.4,2.6,6.2,41.6,0.2,0.8,21.1,2.2,2.7,80.6,1.6,2.6,4.2,1.9,2.4,0.9,0.2,2.1,1.96,98.0,Guard,0,0,0,1,1
851,Patrick Baldwin Jr.,Wisconsin-Milwaukee,28,Golden State Warriors,11.0,28.5,12.1,4.1,11.9,34.4,1.5,5.8,26.6,2.4,3.2,74.3,0.9,4.9,5.8,1.5,2.1,0.8,0.8,1.5,2.06,100.0,Forward,0,0,1,0,1
852,TyTy Washington Jr.,Kentucky,29,Memphis Grizzlies,31.0,29.2,12.5,4.9,10.9,45.1,1.2,3.3,35.0,1.5,2.1,75.0,0.6,2.8,3.5,3.9,1.6,1.3,0.2,1.5,1.91,88.0,Guard,0,0,0,1,1
853,Peyton Watson,California-Los Angeles,30,Oklahoma City Thunder,32.0,12.7,3.3,1.2,3.7,32.2,0.2,1.0,22.6,0.7,1.0,68.8,0.9,2.0,2.9,0.8,0.9,0.6,0.6,1.6,2.03,91.0,Guard,0,0,0,1,1
854,Caleb Houstan,Michigan,32,Orlando Magic,34.0,32.1,10.1,3.2,8.4,38.4,1.8,5.0,35.5,1.9,2.4,78.3,0.8,3.2,4.0,1.4,1.5,0.7,0.2,1.7,2.03,93.0,Guard,0,0,0,1,1
855,Christian Koloko,Arizona,33,Toronto Raptors,28.0,8.3,2.3,1.0,2.1,48.3,0.0,0.0,0.0,0.3,0.7,35.0,1.0,1.4,2.4,0.2,0.1,0.3,0.9,1.3,2.16,104.0,Center,0,1,0,0,1
856,Jaylin Williams,Arkansas,34,Oklahoma City Thunder,26.0,16.0,3.7,1.3,2.7,47.8,0.3,0.9,30.4,0.9,1.2,74.2,1.1,3.5,4.7,0.8,0.9,0.5,0.7,1.9,2.08,109.0,Forward,0,0,1,0,1
857,Max Christie,Michigan State,35,Los Angeles Lakers,35.0,30.8,9.3,3.2,8.4,38.2,1.1,3.5,31.7,1.7,2.1,82.4,0.9,2.6,3.5,1.5,1.5,0.5,0.5,1.1,1.98,86.0,Guard,0,0,0,1,1
858,Kennedy Chandler,Tennessee,38,San Antonio Spurs,34.0,30.7,13.9,5.4,11.5,46.4,1.4,3.8,38.3,1.8,2.9,60.6,0.7,2.6,3.2,4.7,2.5,2.2,0.2,2.0,1.85,77.0,Guard,0,0,0,1,1
