,PLAYER,AFFILIATION,OVERALL PICK,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,HEIGHT,WEIGHT,POSITION,ROTY,CENTER,FORWARD,GUARD,ROOKIE
15,Jeryl Sasser,Southern Methodist,22,ORL,7,4.9,1.4,0.4,2.0,21.4,0.0,0.0,0.0,0.6,0.7,80.0,0.4,0.6,1.0,0.3,0.3,0.4,0.0,0.4,1.98,91.0,Guard,0,0,0,1,0
16,Brandon Armstrong,Pepperdine,23,NJN,35,5.6,1.8,0.8,2.4,31.8,0.1,0.5,29.4,0.1,0.3,50.0,0.3,0.2,0.5,0.2,0.2,0.2,0.0,0.7,1.96,84.0,Guard,0,0,0,1,0
17,Tony Parker,Paris Basket Racing (France),28,SAS,77,29.5,9.2,3.5,8.3,41.9,0.8,2.5,32.3,1.4,2.1,67.5,0.4,2.1,2.6,4.3,2.0,1.2,0.1,2.2,1.88,84.0,Guard,0,0,0,1,0
18,Trenton Hassell,Austin Peay,29,CHI,78,28.7,8.7,3.4,8.1,42.5,0.8,2.1,36.4,1.1,1.5,76.3,0.8,2.4,3.3,2.2,1.3,0.7,0.6,2.4,1.96,103.0,Forward-Guard,0,0,1,1,0
19,Gilbert Arenas,Arizona,30,GSW,47,24.5,10.9,3.7,8.2,45.3,0.8,2.4,34.5,2.6,3.4,77.5,0.9,1.9,2.8,3.7,2.1,1.5,0.2,2.4,1.93,98.0,Guard,0,0,0,1,0
20,Omar Cook,St. John's (NY),31,POR,17,8.1,0.8,0.4,1.6,25.9,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.4,1.4,0.6,0.6,0.0,0.8,1.85,86.0,Guard,0,0,0,1,0
21,Brian Scalabrine,Southern California,34,NJN,28,10.4,2.1,0.8,2.4,34.3,0.1,0.4,30.0,0.4,0.5,73.3,0.4,1.4,1.8,0.8,0.9,0.3,0.1,1.4,2.06,107.0,Forward,0,0,1,0,0
22,Jeff Trepagnier,Southern California,35,CLE,12,6.3,1.5,0.6,1.9,30.4,0.0,0.1,0.0,0.3,0.6,57.1,0.3,0.8,1.0,1.0,0.9,0.7,0.3,0.7,1.93,91.0,Guard,0,0,0,1,0
23,Earl Watson,California-Los Angeles,39,SEA,64,15.1,3.6,1.5,3.3,45.3,0.3,0.7,36.4,0.4,0.6,63.9,0.5,0.8,1.3,2.0,0.8,0.9,0.1,1.5,1.85,90.0,Guard,0,0,0,1,0
24,Bobby Simmons,DePaul,41,WAS,30,11.3,3.7,1.4,3.2,45.3,0.1,0.5,28.6,0.7,1.0,73.3,0.8,0.9,1.7,0.6,0.5,0.4,0.2,1.0,1.98,107.0,Forward,0,0,1,0,0
25,Loren Woods,Arizona,45,MIN,60,8.6,1.8,0.6,1.6,34.4,0.0,0.0,0.0,0.7,1.0,73.3,0.8,1.3,2.0,0.4,0.6,0.3,0.6,1.0,2.18,118.0,Center,0,1,0,0,0
26,Antonis Fotsis,Panathinaikos B.C. (Greece),47,MEM,28,11.3,3.9,1.5,3.7,40.4,0.3,0.8,30.4,0.6,0.7,85.0,0.9,1.3,2.2,0.4,0.8,0.3,0.4,0.8,2.08,99.0,Forward,0,0,1,0,0
27,Ken Johnson,Ohio State,48,MIA,16,9.7,2.0,0.9,2.3,40.5,0.0,0.0,0.0,0.1,0.4,33.3,0.3,1.8,2.0,0.0,0.4,0.1,0.8,1.3,2.08,109.0,Center-Forward,0,1,1,0,0
28,Ruben Boumtje-Boumtje,Georgetown,49,POR,33,7.4,1.2,0.4,1.0,40.6,0.0,0.0,0.0,0.4,0.8,52.0,0.6,1.0,1.7,0.1,0.4,0.1,0.5,1.2,2.13,117.0,Center,0,1,0,0,0
29,Kenny Satterfield,Cincinnati,53,DEN,36,15.6,5.3,2.0,5.5,36.7,0.2,0.8,25.9,1.0,1.3,78.3,0.5,1.0,1.4,3.0,1.5,0.9,0.0,1.2,1.88,77.0,Guard,0,0,0,1,0
30,Alvin Jones,Georgia Tech,56,PHI,23,5.4,1.1,0.3,0.9,40.0,0.0,0.0,0.0,0.4,0.9,50.0,0.6,1.0,1.6,0.1,0.5,0.1,0.4,1.5,2.11,120.0,Center,0,1,0,0,0
31,Yao Ming,Shanghai Sharks (China),1,HOU,82,29.0,13.5,4.9,9.8,49.8,0.0,0.0,50.0,3.7,4.5,81.1,2.4,5.8,8.2,1.7,2.1,0.4,1.8,2.8,2.29,141.0,Center,0,1,0,0,0
32,Jay Williams,Duke,2,CHI,75,26.1,9.5,3.6,9.1,39.9,0.9,2.7,32.2,1.4,2.1,64.0,0.4,2.2,2.6,4.7,2.3,1.1,0.2,2.4,1.88,88.0,Guard,0,0,0,1,0
33,Drew Gooden,Kansas,4,MEM,51,26.1,12.1,5.0,11.3,44.3,0.3,0.9,30.4,1.8,2.6,69.7,2.1,3.7,5.8,1.2,2.1,0.7,0.4,2.4,2.08,113.0,Forward,0,0,1,0,0
34,Nikoloz Tskitishvili,Universo Treviso Basket (Italy),5,DEN,81,16.3,3.9,1.4,4.9,29.3,0.5,1.9,24.3,0.6,0.8,73.8,0.8,1.4,2.2,1.1,1.0,0.4,0.4,1.7,2.13,102.0,Forward,0,0,1,0,0
35,Chris Wilcox,Maryland,8,LAC,46,10.4,3.7,1.6,3.0,52.1,0.0,0.0,0.0,0.5,1.1,50.0,0.7,1.6,2.3,0.5,0.6,0.2,0.3,1.4,2.08,107.0,Forward-Center,0,1,1,0,0
36,Amar'e Stoudemire,Cypress Creek,9,PHX,82,31.3,13.5,4.8,10.1,47.2,0.0,0.1,20.0,3.9,5.9,66.1,3.0,5.7,8.8,1.0,2.3,0.8,1.1,3.3,2.08,111.0,Forward-Center,1,1,1,0,0
37,Caron Butler,Connecticut,10,MIA,78,36.6,15.4,5.5,13.2,41.6,0.4,1.4,31.8,4.0,4.8,82.4,1.7,3.4,5.1,2.7,2.5,1.8,0.4,2.9,2.01,103.0,Forward,0,0,1,0,0
38,Jared Jeffries,Indiana,11,WAS,20,14.5,4.0,1.5,3.2,47.6,0.2,0.3,50.0,0.8,1.5,55.2,1.3,1.6,2.9,0.8,1.1,0.4,0.3,1.4,2.11,109.0,Forward,0,0,1,0,0
39,Melvin Ely,Fresno State,12,LAC,52,15.4,4.5,1.8,3.6,49.5,0.0,0.0,0.0,1.0,1.4,70.3,1.2,2.1,3.3,0.3,1.0,0.2,0.6,1.8,2.08,118.0,Center-Forward,0,1,1,0,0
40,Fred Jones,Oregon,14,IND,19,5.9,1.2,0.5,1.3,37.5,0.1,0.4,28.6,0.2,0.2,75.0,0.2,0.3,0.5,0.3,0.3,0.3,0.1,0.7,1.88,102.0,Guard,0,0,0,1,0
41,Bostjan Nachbar,Universo Treviso Basket (Italy),15,HOU,14,5.6,2.1,0.8,2.2,35.5,0.1,0.7,20.0,0.4,0.7,50.0,0.2,0.6,0.8,0.2,0.4,0.1,0.1,0.9,2.06,100.0,Forward,0,0,1,0,0
42,Jiri Welsch,KK Olimpija (Slovenia),16,GSW,37,6.2,1.6,0.5,2.0,25.3,0.0,0.1,25.0,0.6,0.8,75.9,0.3,0.4,0.8,0.7,0.5,0.2,0.1,0.9,2.01,94.0,Forward,0,0,1,0,0
43,Juan Dixon,Maryland,17,WAS,42,15.4,6.4,2.5,6.5,38.4,0.6,2.0,29.8,0.9,1.1,80.4,0.3,1.4,1.7,1.0,1.0,0.6,0.1,1.3,1.91,75.0,Guard,0,0,0,1,0
44,Curtis Borchardt,Stanford,18,UTA,16,16.1,3.6,1.4,3.5,39.3,0.0,0.1,0.0,0.9,1.1,77.8,0.8,2.6,3.4,0.9,1.1,0.3,0.9,2.5,2.13,110.0,Center,0,1,0,0,0
45,Qyntel Woods,Northeast Mississippi Community College,21,POR,53,6.3,2.4,1.1,2.2,50.0,0.1,0.2,33.3,0.1,0.4,35.0,0.3,0.7,1.0,0.2,0.4,0.3,0.0,0.7,2.03,100.0,Forward-Guard,0,0,1,1,0
46,Casey Jacobsen,Stanford,22,PHX,72,15.9,5.1,1.7,4.5,37.3,0.7,2.3,31.5,1.0,1.5,68.6,0.4,0.8,1.2,1.0,0.8,0.5,0.1,1.3,1.98,98.0,Guard,0,0,0,1,0
47,Nenad Krstic,KK Partizan (Serbia),24,NJN,75,26.2,10.0,3.7,7.6,49.3,0.0,0.0,0.0,2.5,3.4,72.5,2.1,3.2,5.3,1.0,1.5,0.4,0.8,3.7,2.13,109.0,Center,0,1,0,0,0
48,Frank Williams,Illinois,25,NYK,21,8.0,1.3,0.4,1.6,27.3,0.3,0.8,37.5,0.2,0.3,66.7,0.1,0.7,0.9,1.6,0.8,0.3,0.1,1.0,1.91,96.0,Guard,0,0,0,1,0
49,Chris Jefferies,Fresno State,27,TOR,51,13.1,3.9,1.5,3.8,38.7,0.4,1.1,33.3,0.6,0.8,67.4,0.3,0.8,1.2,0.4,0.9,0.4,0.3,1.1,2.03,104.0,Forward,0,0,1,0,0
50,Dan Dickau,Gonzaga,28,ATL,50,10.4,3.7,1.4,3.4,41.2,0.4,1.2,36.1,0.4,0.5,80.8,0.2,0.7,0.9,1.7,1.1,0.3,0.0,1.3,1.83,82.0,Guard,0,0,0,1,0
51,Robert Archibald,Illinois,31,MEM,12,6.0,1.6,0.5,1.7,30.0,0.0,0.0,0.0,0.6,1.5,38.9,0.5,0.9,1.4,0.3,0.6,0.0,0.3,0.8,2.11,113.0,Forward,0,0,1,0,0
52,Vincent Yarbrough,Tennessee,32,DEN,59,23.4,6.9,2.8,7.3,39.3,0.4,1.3,26.9,0.8,1.1,79.0,0.6,2.1,2.7,2.2,1.4,1.0,0.6,2.5,2.01,95.0,Forward,0,0,1,0,0
53,Dan Gadzuric,California-Los Angeles,33,MIL,49,15.5,3.4,1.4,3.0,48.3,0.0,0.0,0.0,0.6,1.1,51.8,1.3,2.7,4.0,0.2,0.6,0.4,1.1,2.6,2.11,109.0,Center,0,1,0,0,0
54,Tito Maddox,Fresno State,37,HOU,9,3.8,1.2,0.3,1.3,25.0,0.0,0.3,0.0,0.6,0.9,62.5,0.1,0.7,0.8,0.6,0.3,0.3,0.1,0.4,1.93,86.0,Guard,0,0,0,1,0
55,Mario Kasun,Skyliners Frankfurt (Germany),40,ORL,45,7.8,2.6,1.0,2.2,48.0,0.0,0.0,0.0,0.5,1.0,55.8,1.2,1.7,2.8,0.2,0.6,0.2,0.3,1.9,2.16,118.0,Center,0,1,0,0,0
56,Flip Murray,Shaw,41,MIL,12,3.5,1.9,0.8,2.2,34.6,0.0,0.3,0.0,0.4,0.7,62.5,0.0,0.1,0.1,0.3,0.3,0.3,0.0,0.0,1.91,91.0,Guard,0,0,0,1,0
57,Lonny Baxter,Maryland,43,CHI,55,12.4,4.8,1.7,3.7,46.6,0.0,0.0,0.0,1.3,1.9,68.0,1.2,1.8,3.0,0.3,0.8,0.2,0.4,2.5,2.03,118.0,Forward,0,0,1,0,0
58,Matt Barnes,California-Los Angeles,45,LAC,38,19.0,4.5,1.7,3.6,45.7,0.1,0.3,15.4,1.1,1.6,70.5,1.4,2.6,4.0,1.3,1.2,0.7,0.1,2.0,2.01,103.0,Forward,0,0,1,0,0
59,Jamal Sampson,California,46,MIL,5,1.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.0,0.2,0.0,0.0,2.11,107.0,Forward-Center,0,1,1,0,0
60,Chris Owens,Texas,47,MEM,1,6.3,4.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.01,111.0,Forward,0,0,1,0,0
61,Darius Songaila,Wake Forest,49,SAC,73,13.3,4.6,1.8,3.7,48.7,0.0,0.0,0.0,1.0,1.2,80.7,1.2,1.8,3.1,0.7,0.6,0.6,0.2,1.7,2.06,112.0,Forward,0,0,1,0,0
62,Carmelo Anthony,Syracuse,3,DEN,82,36.5,21.0,7.6,17.9,42.6,0.8,2.6,32.2,5.0,6.4,77.7,2.2,3.8,6.1,2.8,3.0,1.2,0.5,2.7,2.01,108.0,Forward,0,0,1,0,0
63,Dwyane Wade,Marquette,5,MIA,61,35.0,16.2,6.1,13.1,46.5,0.3,0.9,30.2,3.8,5.1,74.7,1.4,2.7,4.0,4.5,3.2,1.4,0.6,2.3,1.93,100.0,Guard,0,0,0,1,0
64,Kirk Hinrich,Kansas,7,CHI,76,35.6,12.0,4.2,10.8,38.6,1.9,4.9,39.0,1.8,2.2,80.4,0.6,2.9,3.4,6.8,2.7,1.3,0.3,3.6,1.93,86.0,Guard,0,0,0,1,0
65,Michael Sweetney,Georgetown,9,NYK,42,11.8,4.3,1.6,3.3,49.3,0.0,0.0,0.0,1.0,1.4,72.4,1.6,2.1,3.7,0.3,0.8,0.4,0.3,1.4,2.03,122.0,Forward,0,0,1,0,0
66,Jarvis Hayes,Georgia,10,WAS,70,29.2,9.6,4.0,9.9,40.0,0.6,1.9,30.5,1.1,1.4,78.6,1.0,2.8,3.8,1.5,1.6,1.0,0.2,2.2,2.03,103.0,Forward,0,0,1,0,0
67,Mickael Pietrus,Elan Bearnais Pau-Orthez (France),11,GSW,53,14.2,5.3,1.8,4.4,41.6,0.7,2.0,33.3,1.0,1.4,69.3,0.9,1.3,2.2,0.5,0.8,0.6,0.2,1.9,1.98,98.0,Forward,0,0,1,0,0
68,Nick Collison,Kansas,12,SEA,82,17.0,5.6,2.3,4.3,53.5,0.0,0.0,0.0,1.0,1.4,70.3,1.9,2.7,4.6,0.4,0.8,0.4,0.6,3.1,2.08,116.0,Forward-Center,0,1,1,0,0
69,Marcus Banks,Nevada-Las Vegas,13,BOS,81,17.0,5.9,2.2,5.5,40.0,0.3,1.1,31.4,1.2,1.6,75.6,0.4,1.3,1.6,2.2,1.5,1.1,0.2,2.1,1.88,93.0,Guard,0,0,0,1,0
70,Luke Ridnour,Oregon,14,SEA,69,16.1,5.5,2.1,5.1,41.4,0.4,1.2,33.8,0.9,1.1,82.3,0.5,1.1,1.6,2.4,1.2,0.8,0.1,1.5,1.88,79.0,Guard,0,0,0,1,0
71,Troy Bell,Boston College,16,MEM,6,5.8,1.8,0.7,3.0,22.2,0.0,0.7,0.0,0.5,0.5,100.0,0.5,0.2,0.7,0.7,1.0,0.2,0.0,1.0,1.85,82.0,Guard,0,0,0,1,0
72,Zarko Cabarkapa,KK Buducnost Podgorica (Montenegro),17,PHX,49,11.7,4.1,1.7,4.0,41.1,0.1,0.7,18.8,0.7,1.1,66.0,0.5,1.5,2.0,0.8,1.1,0.2,0.3,1.5,2.11,104.0,Forward-Center,0,1,1,0,0
73,David West,Xavier,18,NOH,71,13.1,3.8,1.5,3.2,47.4,0.0,0.0,0.0,0.8,1.1,71.3,1.6,2.5,4.2,0.8,0.7,0.4,0.4,1.6,2.06,113.0,Forward,0,0,1,0,0
74,Sasha Pavlovic,KK Buducnost Podgorica (Montenegro),19,UTA,79,14.4,4.8,1.9,4.8,39.6,0.2,0.9,27.1,0.8,1.1,77.4,0.6,1.5,2.0,0.8,0.8,0.5,0.2,2.4,2.01,107.0,Guard-Forward,0,0,1,1,0
75,Dahntay Jones,Duke,20,MEM,20,7.7,1.8,0.8,2.7,28.3,0.1,0.2,25.0,0.3,0.6,45.5,0.4,0.8,1.2,0.6,0.6,0.3,0.3,1.2,1.98,102.0,Guard-Forward,0,0,1,1,0
76,Travis Outlaw,Starkville,23,POR,8,2.3,1.0,0.4,0.9,42.9,0.0,0.0,0.0,0.3,0.5,50.0,0.3,0.3,0.5,0.1,0.1,0.1,0.0,0.1,2.06,94.0,Forward,0,0,1,0,0
77,Brian Cook,Illinois,24,LAL,35,12.5,4.4,1.9,4.0,47.5,0.0,0.1,0.0,0.6,0.8,75.0,0.9,2.0,2.9,0.6,0.5,0.5,0.5,1.8,2.06,113.0,Center-Forward,0,1,1,0,0
78,Carlos Delfino,Fortitudo Pallacanestro Bologna (Italy),25,DET,30,15.4,3.9,1.4,3.9,35.9,0.3,1.2,25.7,0.8,1.3,57.5,0.4,1.4,1.8,1.3,0.8,0.7,0.2,1.5,1.98,104.0,Guard-Forward,0,0,1,1,0
79,Ndudi Ebi,Westbury Christian School,26,MIN,17,1.9,0.8,0.4,0.8,42.9,0.0,0.0,0.0,0.1,0.2,25.0,0.1,0.1,0.2,0.2,0.2,0.0,0.2,0.4,2.06,88.0,Forward,0,0,1,0,0
80,Kendrick Perkins,Clifton J. Ozen,27,BOS,10,3.5,2.2,0.8,1.5,53.3,0.0,0.0,0.0,0.6,0.9,66.7,0.5,0.9,1.4,0.3,0.5,0.0,0.2,0.6,2.08,122.0,Center,0,1,0,0,0
81,Leandro Barbosa,Associacao Bauru Basketball Team (Brazil),28,PHX,70,21.4,7.9,3.0,6.7,44.7,1.2,3.0,39.5,0.7,0.9,77.0,0.3,1.4,1.8,2.4,1.7,1.3,0.1,2.6,1.91,88.0,Guard,0,0,0,1,0
82,Maciej Lampe,Madrid (ESP),30,PHX,21,10.7,4.6,2.0,4.2,48.9,0.0,0.2,0.0,0.5,0.6,76.9,0.4,1.7,2.1,0.4,0.7,0.1,0.1,1.3,2.11,125.0,Forward,0,0,1,0,0
83,Luke Walton,Arizona,32,LAL,72,10.0,2.4,0.9,2.1,42.5,0.2,0.5,33.3,0.4,0.6,70.5,0.5,1.2,1.8,1.6,0.6,0.4,0.1,1.0,2.03,107.0,Forward,0,0,1,0,0
84,Jerome Beasley,North Dakota,33,MIA,2,2.6,1.0,0.5,1.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.06,108.0,Forward,0,0,1,0,0
85,Travis Hansen,Brigham Young,37,ATL,41,12.4,3.0,1.1,3.2,35.4,0.2,0.7,30.0,0.5,0.7,81.5,0.7,1.0,1.7,0.5,0.4,0.2,0.2,1.6,1.98,93.0,Guard-Forward,0,0,1,1,0
86,Willie Green,Detroit Mercy,41,PHI,53,14.5,6.9,2.7,6.7,40.1,0.4,1.2,31.1,1.1,1.5,72.8,0.3,0.9,1.2,1.0,1.1,0.5,0.1,1.6,1.91,93.0,Guard,0,0,0,1,0
87,Zaza Pachulia,Ulkerspor (Turkey),42,ORL,59,11.2,3.3,1.2,3.0,38.9,0.0,0.0,0.0,1.0,1.5,64.4,1.2,1.8,2.9,0.2,0.6,0.4,0.2,1.5,2.11,122.0,Center,0,1,0,0,0
88,Keith Bogans,Kentucky,43,ORL,73,24.5,6.8,2.5,6.2,40.3,0.9,2.6,35.8,0.9,1.4,63.1,1.5,2.9,4.3,1.3,1.0,0.6,0.1,1.8,1.96,98.0,Guard-Forward,0,0,1,1,0
89,Matt Bonner,Florida,45,TOR,82,18.8,7.2,3.0,5.6,53.3,0.5,1.1,42.4,0.7,0.9,78.9,1.3,2.2,3.5,0.6,0.5,0.5,0.2,2.7,2.08,107.0,Center-Forward,0,1,1,0,0
90,Mo Williams,Alabama,47,UTA,57,13.6,5.0,2.0,5.3,38.0,0.2,0.7,25.6,0.8,1.0,78.6,0.4,0.9,1.3,1.3,0.9,0.5,0.0,1.5,1.85,90.0,Guard,0,0,0,1,0
91,James Jones,Miami (FL),49,IND,6,4.3,1.2,0.3,1.5,22.2,0.2,0.7,25.0,0.3,0.3,100.0,0.0,0.3,0.3,0.0,0.0,0.2,0.0,0.2,2.03,99.0,Guard-Forward,0,0,1,1,0
92,Kyle Korver,Creighton,51,PHI,74,11.6,4.5,1.6,4.4,35.2,1.1,2.8,39.1,0.3,0.3,79.2,0.4,1.1,1.5,0.5,0.6,0.3,0.1,1.4,2.01,96.0,Guard-Forward,0,0,1,1,0
93,Brandon Hunter,Ohio,56,BOS,36,11.2,3.5,1.5,3.2,45.7,0.0,0.1,0.0,0.5,1.2,44.2,1.4,1.9,3.3,0.5,0.6,0.4,0.0,1.1,2.01,121.0,Forward,0,0,1,0,0
94,Dwight Howard,Southwest Atlanta Christian Academy,1,ORL,82,32.7,12.0,4.3,8.3,52.0,0.0,0.0,0.0,3.4,5.0,67.1,3.5,6.5,10.0,0.9,2.0,0.9,1.7,2.8,2.08,120.0,Center-Forward,0,1,1,0,0
95,Emeka Okafor,Connecticut,2,CHA,73,35.6,15.1,6.1,13.7,44.7,0.0,0.0,0.0,2.9,4.7,60.9,3.8,7.1,10.9,0.9,1.7,0.8,1.7,2.9,2.08,116.0,Center,1,1,0,0,0
96,Ben Gordon,Connecticut,3,CHI,82,24.5,15.1,5.3,12.9,41.1,1.6,4.0,40.5,2.8,3.3,86.3,0.7,2.0,2.6,2.0,2.3,0.6,0.1,2.7,1.91,93.0,Guard,0,0,0,1,0
97,Shaun Livingston,Peoria,4,LAC,30,27.3,7.4,3.0,7.2,41.4,0.0,0.1,0.0,1.5,2.0,74.6,0.7,2.2,3.0,5.0,2.5,1.1,0.4,2.7,2.01,87.0,Guard,0,0,0,1,0
98,Luol Deng,Duke,7,CHI,61,27.2,11.7,4.6,10.6,43.4,0.5,1.9,26.5,2.0,2.7,74.1,1.5,3.8,5.3,2.2,1.9,0.8,0.4,1.6,2.06,108.0,Forward,0,0,1,0,0
99,Rafael Araujo,Brigham Young,8,TOR,59,12.5,3.3,1.3,3.0,43.4,0.0,0.1,33.3,0.7,0.9,78.2,1.0,2.1,3.1,0.3,0.9,0.4,0.1,2.7,2.11,122.0,Center,0,1,0,0,0
100,Andre Iguodala,Arizona,9,PHI,82,32.7,9.0,3.3,6.7,49.3,0.6,1.7,33.1,1.9,2.6,74.3,1.1,4.6,5.7,3.0,1.7,1.7,0.6,2.5,1.98,98.0,Guard-Forward,0,0,1,1,0
101,Robert Swift,Bakersfield,12,SEA,16,4.4,0.9,0.3,0.7,45.5,0.0,0.0,0.0,0.3,0.6,55.6,0.1,0.3,0.3,0.1,0.3,0.1,0.4,1.0,2.16,122.0,Center,0,1,0,0,0
102,Kris Humphries,Minnesota,14,UTA,67,13.0,4.1,1.7,4.3,40.4,0.0,0.1,33.3,0.7,1.5,43.6,1.1,1.9,2.9,0.6,0.8,0.4,0.3,1.4,2.06,107.0,Forward,0,0,1,0,0
103,Kirk Snyder,Nevada-Reno,16,UTA,68,13.2,5.0,1.8,4.8,37.2,0.4,1.3,35.3,0.9,1.4,66.7,0.7,1.0,1.8,0.5,0.9,0.4,0.3,1.7,1.98,102.0,Forward-Guard,0,0,1,1,0
104,Dorell Wright,South Kent School,19,MIA,3,9.2,2.3,1.0,3.7,27.3,0.0,1.3,0.0,0.3,0.3,100.0,0.0,0.3,0.3,1.0,1.0,1.3,0.0,0.7,2.06,93.0,Forward-Guard,0,0,1,1,0
105,Delonte West,Saint Joseph's,24,BOS,39,12.9,4.5,1.7,4.0,42.6,0.6,1.7,35.8,0.5,0.7,70.4,0.4,1.3,1.7,1.4,0.6,0.5,0.2,1.8,1.91,82.0,Guard,0,0,0,1,0
106,Sasha Vujacic,Pallalcesto Amatori Udine (Italy),27,LAL,35,11.5,2.9,0.9,3.3,28.2,0.5,1.8,27.0,0.5,0.5,94.7,0.4,1.4,1.8,1.5,0.4,0.3,0.1,1.2,2.01,88.0,Guard,0,0,0,1,0
107,Beno Udrih,Olimpia Milano (Italy),28,SAS,80,14.4,5.9,2.2,4.9,44.4,0.7,1.8,40.8,0.8,1.1,75.3,0.2,0.8,1.0,1.9,1.0,0.5,0.1,1.2,1.91,93.0,Guard,0,0,0,1,0
108,David Harrison,Colorado,29,IND,43,17.7,6.1,2.5,4.3,57.6,0.0,0.0,0.0,1.2,2.1,57.1,1.1,2.0,3.1,0.3,1.2,0.4,1.3,3.1,2.13,127.0,Center,0,1,0,0,0
109,Lionel Chalmers,Xavier,33,LAC,36,11.8,3.1,1.2,3.5,33.6,0.3,1.4,24.5,0.4,0.7,62.5,0.1,0.8,0.9,1.4,0.7,0.4,0.0,0.8,1.83,82.0,Guard,0,0,0,1,0
110,Donta Smith,Southeastern Illinois,34,ATL,38,11.4,3.3,1.2,3.0,38.9,0.2,0.6,27.3,0.9,1.3,68.8,0.5,0.9,1.4,1.0,0.7,0.6,0.1,1.3,2.01,98.0,Guard,0,0,0,1,0
111,Antonio Burks,Memphis,36,MEM,24,9.1,3.0,1.2,2.5,46.7,0.1,0.5,27.3,0.6,0.8,73.7,0.0,0.5,0.5,1.2,0.5,0.5,0.0,1.0,1.83,88.0,Guard,0,0,0,1,0
112,Chris Duhon,Duke,38,CHI,82,26.5,5.9,2.1,6.0,35.2,1.1,3.2,35.5,0.6,0.8,73.1,0.3,2.3,2.6,4.9,1.5,1.0,0.0,2.5,1.85,86.0,Guard,0,0,0,1,0
113,Bernard Robinson,Michigan,45,CHA,31,10.6,3.0,1.2,2.6,44.4,0.1,0.3,37.5,0.6,0.8,69.2,0.5,1.1,1.5,1.0,0.6,0.4,0.1,1.4,1.98,95.0,Guard-Forward,0,0,1,1,0
114,Ha Ha,Yonsei (KOR),46,POR,19,5.3,1.4,0.5,1.2,43.5,0.0,0.0,0.0,0.3,0.6,54.5,0.3,0.6,0.9,0.1,0.6,0.1,0.3,1.1,2.21,138.0,Center,0,1,0,0,0
115,Pape Sow,Cal State-Fullerton,47,TOR,27,9.3,2.3,0.9,2.1,39.7,0.0,0.0,0.0,0.6,1.0,59.3,0.7,1.4,2.1,0.1,0.4,0.4,0.1,1.7,2.08,113.0,Forward,0,0,1,0,0
116,Vassilis Spanoulis,Maroussi B.C. (Greece),50,HOU,31,8.8,2.7,0.7,2.3,31.9,0.2,0.9,17.2,1.1,1.4,81.0,0.2,0.5,0.7,0.9,0.9,0.2,0.0,1.1,1.93,88.0,Guard,0,0,0,1,0
117,Luis Flores,Manhattan,55,GSW,15,4.7,2.1,0.9,1.8,48.1,0.3,0.6,44.4,0.1,0.1,100.0,0.0,0.1,0.1,0.7,0.7,0.1,0.0,0.6,1.88,88.0,Guard,0,0,0,1,0
118,Andrew Bogut,Utah,1,MIL,82,28.6,9.4,3.9,7.4,53.3,0.0,0.0,0.0,1.5,2.4,62.9,2.3,4.7,7.0,2.3,1.5,0.6,0.8,3.2,2.13,118.0,Center,0,1,0,0,0
119,Chris Paul,Wake Forest,4,NOK,78,36.0,16.1,5.2,12.1,43.0,0.6,2.3,28.2,5.1,6.0,84.7,0.8,4.3,5.1,7.8,2.3,2.2,0.1,2.8,1.83,79.0,Guard,1,0,0,1,0
120,Raymond Felton,North Carolina,5,CHA,80,30.1,11.9,4.3,11.0,39.1,1.2,3.4,35.8,2.0,2.8,72.5,1.0,2.4,3.3,5.6,2.3,1.3,0.1,2.3,1.85,93.0,Guard,0,0,0,1,0
121,Martell Webster,Seattle Preparatory School,6,POR,61,17.5,6.6,2.3,5.7,39.9,1.1,3.0,35.7,1.0,1.2,85.9,0.5,1.7,2.1,0.6,0.7,0.3,0.2,1.5,2.01,104.0,Forward-Guard,0,0,1,1,0
122,Charlie Villanueva,Connecticut,7,TOR,81,29.1,13.0,5.4,11.6,46.3,0.9,2.6,32.7,1.4,2.0,70.6,2.2,4.2,6.4,1.1,1.2,0.7,0.8,3.0,2.11,105.0,Forward,0,0,1,0,0
123,Andrew Bynum,Saint Joseph,10,LAL,46,7.4,1.6,0.7,1.8,40.2,0.0,0.0,0.0,0.2,0.6,29.6,0.7,1.0,1.7,0.2,0.4,0.1,0.5,1.2,2.13,129.0,Center,0,1,0,0,0
124,Yaroslav Korolev,PBC CSKA Moscow (Russia),12,LAC,24,5.3,1.1,0.4,1.3,30.0,0.1,0.3,28.6,0.3,0.4,70.0,0.2,0.3,0.5,0.4,0.3,0.1,0.0,0.5,2.06,92.0,Forward,0,0,1,0,0
