,PLAYER,ROOKIE,ROTY,FTM,AST,STL,OREB,GP,BLK,PF,ThreePA,FTPercent,ThreePPercent,GUARD,FORWARD,WEIGHT,HEIGHT,CENTER,YEAR,OVERALL PICK,FTRate,TSPercent
270,Darrell Arthur,0,0,0.5,0.6,0.7,1.4,76.0,0.7,2.7,0.0,66.7,0.0,0,1,107.0,2.06,0,2008,27,0.14035087719298245,0.4605263157894737
271,Donte Greene,0,0,0.5,0.5,0.3,0.3,55.0,0.3,1.2,1.8,85.3,26.0,0,1,103.0,2.11,0,2008,28,0.13953488372093023,0.4143947655398037
272,DJ White,0,0,1.4,0.9,0.4,1.4,7.0,0.7,1.4,0.0,76.9,0.0,0,1,113.0,2.06,0,2008,29,0.2676056338028169,0.5560762261793191
273,J.R. Giddens,0,0,0.0,0.0,0.2,0.3,6.0,0.0,0.2,0.0,0.0,0.0,1,0,98.0,1.96,0,2008,30,0.0,0.7
274,Nikola Pekovic,0,0,1.3,0.4,0.3,1.4,65.0,0.5,2.8,0.0,76.3,0.0,0,0,139.0,2.11,1,2010,31,0.45,0.5664263645726055
275,Walter Sharpe,0,0,0.0,0.0,0.0,0.0,8.0,0.3,0.4,0.3,0.0,0.0,0,1,111.0,2.06,0,2008,32,0.2142857142857143,0.3241491085899514
276,Mario Chalmers,0,0,1.8,4.9,2.0,0.5,82.0,0.1,2.9,3.8,76.7,36.7,1,0,86.0,1.88,0,2008,34,0.2962962962962963,0.5411255411255411
277,DeAndre Jordan,0,0,0.8,0.2,0.2,1.4,53.0,1.1,1.8,0.0,38.5,0.0,0,0,120.0,2.11,1,2008,35,0.7500000000000001,0.5661619486504279
278,Omer Asik,0,0,0.9,0.4,0.2,1.4,82.0,0.7,1.9,0.0,50.3,0.0,0,0,116.0,2.13,1,2010,36,1.0588235294117647,0.5479452054794521
279,Luc Mbah a Moute,0,0,1.7,1.1,1.1,2.3,82.0,0.5,2.5,0.0,72.9,0.0,0,1,104.0,2.03,0,2008,37,0.3833333333333333,0.5075784279168136
280,Nathan Jawai,0,0,0.0,0.0,0.0,0.2,6.0,0.0,0.5,0.0,0.0,0.0,0,1,127.0,2.08,0,2008,41,0.0,0.2142857142857143
281,Sean Singletary,0,0,0.5,0.9,0.5,0.4,13.0,0.0,1.1,0.8,100.0,40.0,1,0,84.0,1.83,0,2008,42,0.17857142857142858,0.42798353909465026
282,Patrick Ewing,0,1,0.4,0.3,0.0,0.1,7.0,0.1,0.1,0.3,75.0,0.0,0,1,107.0,2.03,0,2010,43,0.8571428571428572,0.20304568527918784
283,Goran Dragic,0,0,0.9,2.0,0.5,0.6,55.0,0.1,1.6,1.0,76.9,37.0,1,0,86.0,1.91,0,2008,45,0.29268292682926833,0.48179871520342615
284,Henry Walker,0,0,0.6,0.4,0.2,0.3,29.0,0.1,1.8,0.0,69.6,0.0,0,1,107.0,1.98,0,2008,47,0.4,0.6302521008403361
285,Malik Hairston,0,0,0.1,0.9,0.4,0.7,15.0,0.5,1.3,0.1,28.6,0.0,1,0,100.0,1.98,0,2008,48,0.15151515151515152,0.46643109540636046
286,Darnell Jackson,0,0,0.5,0.2,0.2,0.6,51.0,0.1,1.5,0.0,68.6,0.0,0,1,115.0,2.06,0,2008,52,0.4117647058823529,0.4674046740467405
287,Mike Taylor,0,0,1.1,2.1,0.7,0.4,51.0,0.0,1.6,0.8,69.1,32.5,1,0,75.0,1.88,0,2008,55,0.3076923076923077,0.47818791946308725
