,PLAYER,ROOKIE,ROTY,FTM,AST,STL,OREB,GP,BLK,PF,ThreePA,FTPercent,ThreePPercent,GUARD,FORWARD,WEIGHT,HEIGHT,CENTER,YEAR,OVERALL PICK,FTRate,TSPercent
383,Tobias Harris,0,0,1.0,0.5,0.3,0.7,42.0,0.2,1.1,0.5,81.5,26.1,0,1,103.0,2.01,0,2011,19,0.325,0.5414185165132648
384,Donatas Motiejunas,0,0,0.7,0.7,0.2,0.8,44.0,0.2,1.7,1.9,62.7,28.9,0,1,100.0,2.13,1,2012,20,0.25,0.5307262569832403
385,Nolan Smith,0,0,0.5,1.4,0.4,0.4,44.0,0.1,1.3,1.0,71.4,28.9,1,0,84.0,1.88,0,2011,21,0.14634146341463417,0.43329532497149376
386,Kenneth Faried,0,0,2.4,0.8,0.7,3.1,46.0,1.0,2.5,0.0,66.5,0.0,0,1,100.0,2.03,1,2011,22,0.5373134328358209,0.6064209274673008
387,Nikola Mirotic,0,0,2.8,1.2,0.7,0.8,82.0,0.7,2.1,3.8,80.3,31.6,0,1,113.0,2.08,0,2014,23,0.46052631578947373,0.5506072874493927
388,Reggie Jackson,0,0,0.6,1.6,0.6,0.3,45.0,0.0,0.7,1.4,86.2,21.0,1,0,94.0,1.88,0,2011,24,0.17142857142857143,0.4095112285336856
389,Jordan Hamilton,0,0,0.1,0.8,0.2,0.4,26.0,0.1,0.6,1.8,40.0,36.2,1,1,100.0,2.01,0,2011,26,0.04651162790697675,0.5005688282138795
390,JaJuan Johnson,0,0,0.2,0.2,0.1,0.6,36.0,0.4,0.7,0.0,66.7,0.0,0,1,100.0,2.08,0,2011,27,0.08823529411764706,0.4516584333098095
391,Norris Cole,0,0,1.0,2.0,0.7,0.3,65.0,0.0,1.9,1.2,77.6,27.6,1,0,79.0,1.88,0,2011,28,0.18840579710144928,0.45227801795809774
392,Cory Joseph,0,0,0.4,1.2,0.2,0.2,29.0,0.1,0.6,0.5,64.7,20.0,1,0,91.0,1.91,0,2011,29,0.25,0.37243947858473
393,Jimmy Butler,0,0,1.0,0.3,0.3,0.5,42.0,0.1,0.5,0.3,76.8,18.2,0,1,104.0,2.01,0,2011,30,0.6842105263157895,0.5163853028798411
394,Bojan Bogdanovic,0,0,1.1,0.9,0.4,0.6,78.0,0.1,1.3,3.3,82.1,35.5,0,1,103.0,2.01,0,2014,31,0.18918918918918917,0.5579665220086795
395,Kyle Singler,0,0,1.2,0.9,0.7,1.3,82.0,0.5,2.6,2.4,80.6,35.0,0,1,103.0,2.03,0,2012,33,0.19230769230769232,0.5168869309838474
396,Shelvin Mack,0,0,0.7,2.0,0.4,0.2,64.0,0.0,0.8,0.7,71.2,28.6,1,0,92.0,1.91,0,2011,34,0.2647058823529412,0.4702808621815807
397,Jordan Williams,0,0,1.0,0.3,0.5,1.5,43.0,0.3,1.4,0.0,65.2,0.0,0,0,118.0,2.08,1,2011,36,0.42857142857142855,0.545994065281899
398,Trey Thompkins,0,0,0.2,0.1,0.1,0.2,24.0,0.1,0.4,0.5,71.4,30.8,0,1,111.0,2.08,0,2011,37,0.12,0.4541154210028382
399,Jeremy Tyler,0,0,0.7,0.4,0.4,1.3,42.0,0.5,2.0,0.0,55.8,0.0,0,1,113.0,2.08,0,2011,39,0.24,0.4398563734290844
400,Jon Leuer,0,0,0.5,0.5,0.3,1.0,46.0,0.4,1.5,0.2,75.0,33.3,0,1,103.0,2.08,0,2011,40,0.14285714285714285,0.5239687848383501
401,Darius Morris,0,0,0.3,1.1,0.1,0.1,19.0,0.0,0.8,0.5,66.7,44.4,1,0,88.0,1.93,0,2011,41,0.22727272727272727,0.4923076923076923
402,Davis Bertans,0,0,0.4,0.7,0.3,0.3,67.0,0.4,1.1,2.6,82.4,39.9,0,1,102.0,2.08,0,2016,42,0.14285714285714285,0.6020066889632107
403,Charles Jenkins,0,0,0.7,3.3,0.6,0.2,51.0,0.1,1.7,0.4,87.2,15.0,1,0,98.0,1.91,0,2011,44,0.14035087719298245,0.47697368421052627
404,Josh Harrellson,0,0,0.4,0.3,0.6,1.3,37.0,0.5,1.3,1.6,61.5,33.9,0,1,125.0,2.08,1,2011,45,0.175,0.507789959607617
405,Andrew Goudelock,0,0,0.3,0.5,0.1,0.1,40.0,0.0,0.8,1.9,91.7,37.3,1,0,91.0,1.91,0,2011,46,0.06818181818181818,0.48431480462300497
406,Lavoy Allen,0,0,0.3,0.8,0.3,1.1,41.0,0.4,1.8,0.0,78.6,0.0,0,1,118.0,2.06,1,2011,50,0.07317073170731708,0.48320565704183854
407,Vernon Macklin,0,0,0.3,0.2,0.2,0.6,23.0,0.2,0.4,0.0,57.1,0.0,0,1,103.0,2.08,0,2011,52,0.39999999999999997,0.5602240896358543
408,DeAndre Liggins,0,0,0.5,0.3,0.4,0.4,17.0,0.0,0.4,0.2,47.4,0.0,1,0,95.0,1.98,0,2011,53,0.7333333333333334,0.46971569839307786
409,E'Twaun Moore,0,0,0.2,0.9,0.3,0.1,38.0,0.1,0.9,1.2,100.0,37.8,1,0,87.0,1.91,0,2011,55,0.06666666666666667,0.46849757673667203
410,Isaiah Thomas,0,0,2.4,4.1,0.8,0.7,65.0,0.1,1.9,3.4,83.2,37.9,1,0,84.0,1.75,0,2011,60,0.3181818181818181,0.5676209279368213
411,Anthony Davis,0,0,2.6,1.0,1.2,2.6,64.0,1.8,2.5,0.1,75.1,0.0,0,1,115.0,2.08,1,2012,1,0.33018867924528306,0.5504587155963303
412,Michael Kidd-Gilchrist,0,0,1.8,1.5,0.7,1.7,78.0,0.9,2.1,0.1,74.9,22.2,0,1,105.0,1.98,0,2012,2,0.30379746835443033,0.49778761061946897
413,Bradley Beal,0,0,2.2,2.4,0.9,0.8,56.0,0.5,2.0,4.2,78.6,38.6,1,0,94.0,1.93,0,2012,3,0.2276422764227642,0.5099046221570066
414,Dion Waiters,0,0,2.6,3.0,1.0,0.4,61.0,0.3,1.9,3.3,74.6,31.0,1,0,95.0,1.91,0,2012,4,0.26119402985074625,0.4879668049792531
415,Thomas Robinson,0,0,0.8,0.7,0.5,1.8,51.0,0.4,1.9,0.0,57.7,0.0,0,1,108.0,2.08,0,2012,5,0.2916666666666667,0.43915827996340345
416,Damian Lillard,0,1,3.3,6.5,0.9,0.5,82.0,0.2,2.1,6.1,84.4,36.8,1,0,88.0,1.88,0,2012,6,0.2484076433121019,0.5412334425295542
417,Harrison Barnes,0,0,1.8,1.2,0.6,0.7,81.0,0.2,1.7,1.8,75.8,35.9,0,1,102.0,2.03,0,2012,7,0.2948717948717949,0.517289850998032
418,Terrence Ross,0,0,0.4,0.7,0.6,0.5,73.0,0.2,1.7,2.7,71.4,33.2,1,1,93.0,1.98,0,2012,8,0.09523809523809523,0.48595292331055434
419,Andre Drummond,0,0,1.0,0.5,1.0,2.8,60.0,1.6,2.4,0.0,37.1,50.0,0,0,127.0,2.08,1,2012,9,0.4736842105263158,0.5656999641962048
420,Austin Rivers,0,0,1.0,2.1,0.4,0.3,61.0,0.1,2.0,1.4,54.6,32.6,1,0,91.0,1.93,0,2012,10,0.28125,0.4272915230875258
421,Jeremy Lamb,0,0,0.6,0.2,0.1,0.2,23.0,0.1,0.6,1.3,100.0,30.0,1,1,82.0,1.96,0,2012,12,0.19999999999999998,0.471841704718417
422,Kendall Marshall,0,0,0.2,3.0,0.5,0.1,48.0,0.1,1.0,1.5,57.1,31.5,1,0,91.0,1.93,0,2012,13,0.0967741935483871,0.4626060138781804
423,John Henson,0,0,0.9,0.5,0.3,1.8,63.0,0.7,1.3,0.0,53.3,0.0,0,1,99.0,2.06,1,2012,14,0.32075471698113206,0.4911993450675399
424,Maurice Harkless,0,0,1.0,0.7,1.2,1.6,76.0,0.8,1.9,1.5,57.0,27.4,1,1,100.0,2.01,0,2012,15,0.22972972972972971,0.4995431008224185
425,Tyler Zeller,0,0,1.6,1.2,0.5,2.1,77.0,0.9,3.3,0.1,76.4,0.0,0,1,113.0,2.11,1,2012,17,0.273972602739726,0.4787878787878788
426,Andrew Nicholson,0,0,1.0,0.6,0.3,0.9,75.0,0.4,1.8,0.0,79.8,0.0,0,1,113.0,2.06,0,2012,19,0.2,0.547945205479452
427,Evan Fournier,0,0,0.8,1.2,0.5,0.2,38.0,0.0,1.7,1.4,76.9,40.7,1,1,93.0,1.98,0,2012,20,0.25,0.5921787709497207
428,Fab Melo,0,0,0.2,0.0,0.3,0.0,6.0,0.3,1.2,0.0,25.0,0.0,0,0,116.0,2.13,1,2012,22,0.7,0.450281425891182
429,John Jenkins,0,0,1.0,0.9,0.2,0.3,61.0,0.2,0.6,2.3,84.3,38.4,1,0,98.0,1.93,0,2012,23,0.22916666666666669,0.5730389854391733
430,Tony Wroten,0,0,0.6,1.2,0.2,0.4,35.0,0.1,1.0,0.5,72.4,25.0,1,0,93.0,1.98,0,2012,25,0.32,0.4513888888888889
431,Miles Plumlee,0,0,0.2,0.1,0.0,0.9,14.0,0.2,0.4,0.0,75.0,0.0,0,0,113.0,2.11,1,2012,26,0.19999999999999998,0.273972602739726
432,Arnett Moultrie,0,0,0.4,0.2,0.4,1.6,47.0,0.2,0.9,0.0,64.3,0.0,0,1,109.0,2.08,0,2012,27,0.20689655172413793,0.5808477237048666
433,Perry Jones III,0,0,0.3,0.3,0.1,0.3,38.0,0.2,0.6,0.1,66.7,0.0,0,1,107.0,2.11,0,2012,28,0.15384615384615385,0.41218637992831536
434,Marquis Teague,0,0,0.2,1.3,0.2,0.1,48.0,0.1,1.0,0.5,56.3,17.4,1,0,86.0,1.88,0,2012,29,0.125,0.41297935103244837
435,Festus Ezeli,0,0,0.6,0.3,0.3,1.8,78.0,0.9,2.0,0.0,53.1,0.0,0,0,120.0,2.11,1,2012,30,0.45454545454545453,0.44859813084112143
436,Tomas Satoransky,0,0,0.4,1.6,0.5,0.4,57.0,0.1,1.1,0.6,69.7,24.3,1,0,95.0,2.01,0,2016,32,0.23076923076923075,0.4679376083188908
437,Bernard James,0,0,0.5,0.1,0.3,1.1,46.0,0.8,1.4,0.0,61.0,0.0,0,0,107.0,2.08,1,2012,33,0.40909090909090906,0.5328258801141769
438,Jae Crowder,0,0,0.6,1.2,0.8,0.4,78.0,0.2,1.6,2.5,64.4,32.8,0,1,107.0,1.98,0,2012,34,0.19148936170212766,0.4875670404680643
439,Draymond Green,0,0,0.6,0.7,0.5,0.7,79.0,0.3,2.0,0.8,81.8,20.9,0,1,104.0,1.98,0,2012,35,0.21212121212121213,0.39917412250516177
440,Quincy Miller,0,0,0.1,0.4,0.1,0.1,7.0,0.0,0.4,0.1,50.0,0.0,0,1,95.0,2.06,0,2012,38,0.17647058823529413,0.35278154681139756
441,Khris Middleton,0,0,1.0,1.0,0.6,0.1,27.0,0.1,2.0,1.7,84.4,31.1,0,1,101.0,2.01,0,2012,39,0.23076923076923075,0.5285961871750433
442,Will Barton,0,0,0.7,0.8,0.5,0.5,73.0,0.1,0.8,0.9,76.9,13.8,1,0,82.0,1.96,0,2012,40,0.21428571428571427,0.4321988114532685
443,Doron Lamb,0,0,0.3,0.9,0.3,0.1,23.0,0.0,1.2,0.7,53.3,25.0,1,0,91.0,1.93,0,2012,42,0.17073170731707318,0.38353073886068817
444,Mike Scott,0,0,1.1,0.3,0.1,1.0,40.0,0.1,0.8,0.0,76.8,0.0,0,1,108.0,2.01,0,2012,43,0.37837837837837834,0.5269186712485681
445,Kim English,0,0,0.5,0.6,0.4,0.2,41.0,0.1,1.1,1.2,72.4,28.0,1,0,91.0,1.98,0,2012,44,0.25925925925925924,0.4781533388293487
446,Justin Hamilton,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,116.0,2.13,1,2013,45,0.0,0.0
447,Kevin Murphy,0,0,0.0,0.1,0.1,0.0,17.0,0.0,0.2,0.3,0.0,20.0,1,0,84.0,1.98,0,2012,47,0.0,0.28125
448,Kyle O'Quinn,0,0,0.5,0.9,0.2,1.1,57.0,0.5,1.9,0.0,66.7,0.0,0,1,113.0,2.06,1,2012,49,0.2285714285714286,0.5283505154639175
449,Kris Joseph,0,0,0.5,0.2,0.0,0.2,6.0,0.0,0.3,0.3,75.0,0.0,0,1,95.0,2.01,0,2012,51,0.38888888888888884,0.2813599062133646
450,Ognjen Kuzmic,0,0,0.2,0.1,0.1,0.5,21.0,0.2,0.8,0.0,45.5,0.0,0,0,118.0,2.13,1,2013,52,0.8333333333333334,0.41791044776119407
451,Furkan Aldemir,0,0,0.3,0.7,0.4,1.9,41.0,0.4,2.3,0.1,48.1,0.0,0,1,109.0,2.08,1,2014,53,0.3684210526315789,0.51511758118701
452,Robbie Hummel,0,0,0.3,0.4,0.3,0.7,53.0,0.0,1.1,1.7,93.8,36.0,0,1,99.0,2.06,0,2013,58,0.09090909090909091,0.4938271604938272
453,Robert Sacre,0,0,0.2,0.2,0.0,0.3,32.0,0.3,1.2,0.0,63.6,0.0,0,0,122.0,2.13,1,2012,60,0.19999999999999998,0.395738203957382
454,Victor Oladipo,0,0,3.1,4.1,1.6,0.5,80.0,0.5,2.6,2.8,78.0,32.7,1,0,97.0,1.93,0,2013,2,0.3418803418803419,0.5073529411764707
455,Otto Porter Jr.,0,0,0.2,0.3,0.2,0.6,37.0,0.0,0.7,0.6,66.7,19.0,0,1,90.0,2.03,0,2013,3,0.12,0.3973509933774835
456,Cody Zeller,0,0,1.8,1.1,0.5,1.4,82.0,0.5,2.1,0.0,73.0,0.0,0,1,109.0,2.11,1,2013,4,0.48979591836734687,0.4966887417218543
457,Alex Len,0,0,0.5,0.1,0.1,0.9,42.0,0.4,1.6,0.0,64.5,0.0,0,0,113.0,2.13,1,2013,5,0.3684210526315789,0.4479283314669653
458,Nerlens Noel,0,0,1.9,1.7,1.8,2.5,75.0,1.9,2.8,0.0,60.9,0.0,0,1,100.0,2.11,1,2014,6,0.35632183908045983,0.4866060457114771
459,Ben McLemore,0,0,1.4,1.0,0.5,0.6,82.0,0.2,2.5,3.6,80.4,32.0,1,0,88.0,1.91,0,2013,7,0.2048192771084337,0.48311830908591824
460,CJ McCollum,0,0,0.6,0.7,0.4,0.2,38.0,0.1,1.4,2.1,67.6,37.5,1,0,86.0,1.91,0,2013,10,0.19148936170212766,0.5168210628961482
461,Steven Adams,0,0,1.0,0.5,0.5,1.8,81.0,0.7,2.5,0.0,58.1,0.0,0,0,120.0,2.11,1,2013,12,0.7391304347826088,0.5309734513274336
462,Kelly Olynyk,0,0,1.4,1.6,0.5,2.0,70.0,0.4,3.2,1.6,81.1,35.1,0,1,109.0,2.11,1,2013,13,0.2361111111111111,0.5432407118326569
463,Shabazz Muhammad,0,0,0.7,0.2,0.2,0.6,37.0,0.0,0.6,0.3,65.0,27.3,1,1,100.0,1.98,0,2013,14,0.3235294117647059,0.497131931166348
464,Giannis Antetokounmpo,0,0,1.8,1.9,0.8,1.0,77.0,0.8,2.2,1.5,68.3,34.7,0,1,110.0,2.11,0,2013,15,0.48148148148148145,0.5124340617935192
465,Lucas Nogueira,0,0,0.3,0.2,0.3,0.3,6.0,0.0,1.0,0.0,50.0,0.0,0,0,100.0,2.13,1,2014,16,0.5384615384615384,0.30627871362940273
466,Dennis Schroder,0,0,0.6,1.9,0.3,0.1,49.0,0.0,1.1,0.9,67.4,23.8,1,0,78.0,1.85,0,2013,17,0.2368421052631579,0.43761088113542285
467,Shane Larkin,0,0,0.3,1.5,0.5,0.2,48.0,0.0,1.0,0.8,64.0,31.6,1,0,79.0,1.8,0,2013,18,0.1724137931034483,0.44621513944223107
468,Sergey Karasev,0,0,0.4,0.3,0.1,0.0,22.0,0.0,1.0,0.9,90.0,21.1,1,1,94.0,2.01,0,2013,19,0.3125,0.4625850340136054
469,Tony Snell,0,0,0.4,0.9,0.4,0.2,77.0,0.2,1.1,2.3,75.6,32.0,1,0,97.0,1.98,0,2013,20,0.11363636363636363,0.4851752021563342
470,Gorgui Dieng,0,0,1.0,0.7,0.5,1.7,60.0,0.8,1.8,0.0,63.4,100.0,0,0,112.0,2.08,1,2013,21,0.4210526315789474,0.5263157894736842
471,Mason Plumlee,0,0,1.7,0.9,0.7,1.4,70.0,0.8,2.4,0.0,62.6,0.0,0,1,115.0,2.11,1,2013,22,0.6511627906976744,0.6571936056838367
472,Tim Hardaway Jr.,0,0,1.3,0.8,0.5,0.2,81.0,0.1,1.8,4.4,82.8,36.3,1,1,93.0,1.96,0,2013,24,0.18823529411764706,0.550755939524838
473,Reggie Bullock,0,0,0.2,0.3,0.2,0.3,43.0,0.0,0.6,1.7,77.8,30.1,1,1,93.0,1.98,0,2013,25,0.07142857142857144,0.4663212435233161
474,Rudy Gobert,0,0,0.7,0.2,0.2,1.1,45.0,0.9,1.3,0.0,49.2,0.0,0,0,117.0,2.16,1,2013,27,0.8749999999999999,0.5077262693156732
475,Archie Goodwin,0,0,0.7,0.4,0.4,0.5,52.0,0.2,0.9,0.7,67.3,13.9,1,0,93.0,1.96,0,2013,29,0.34375,0.49697783747481533
476,Nemanja Nedovic,0,0,0.3,0.5,0.0,0.1,24.0,0.0,0.5,0.8,87.5,16.7,1,0,87.0,1.91,0,2013,30,0.18749999999999997,0.31563845050215206
477,Carrick Felix,0,0,0.4,0.6,0.0,0.1,7.0,0.0,0.6,0.7,75.0,40.0,1,1,91.0,1.98,0,2013,33,0.3,0.5908096280087527
478,Grant Jerrett,0,0,0.0,0.2,0.0,0.2,5.0,0.4,1.4,2.6,0.0,7.7,0,1,105.0,2.08,0,2014,40,0.0,0.20588235294117646
479,Jamaal Franklin,0,0,0.1,0.3,0.2,0.2,21.0,0.1,1.1,0.5,100.0,45.5,1,0,87.0,1.96,0,2013,41,0.052631578947368425,0.4878048780487805
480,Ricky Ledo,0,0,0.4,0.2,0.1,0.0,11.0,0.0,0.2,0.7,100.0,37.5,1,0,88.0,2.01,0,2013,43,0.26666666666666666,0.5029585798816568
481,Mike Muscala,0,0,0.7,0.4,0.2,0.9,20.0,0.5,1.5,0.2,100.0,0.0,0,1,109.0,2.08,1,2013,44,0.18918918918918917,0.47117172969621823
482,Raul Neto,0,0,0.6,2.1,0.8,0.2,81.0,0.0,1.5,2.0,74.3,39.5,1,0,82.0,1.88,0,2015,47,0.17307692307692307,0.5242114615726344
483,Ryan Kelly,0,0,1.9,1.6,0.5,0.7,59.0,0.8,2.5,2.4,81.5,33.8,0,1,104.0,2.11,0,2013,48,0.36507936507936506,0.5410889414947582
484,Erik Murphy,0,0,0.0,0.1,0.0,0.1,24.0,0.2,0.3,0.1,0.0,0.0,0,1,104.0,2.08,0,2013,49,0.0,0.3
485,Joffrey Lauvergne,0,0,0.8,0.5,0.3,1.1,24.0,0.4,1.8,0.7,64.3,18.8,0,0,118.0,2.11,1,2014,55,0.3243243243243243,0.45667447306791564
486,Peyton Siva,0,0,0.5,1.4,0.4,0.1,24.0,0.0,1.1,1.0,73.3,28.0,1,0,84.0,1.83,0,2013,56,0.25,0.4283054003724394
487,Andrew Wiggins,0,1,4.3,2.1,1.0,1.6,82.0,0.6,2.3,1.5,76.0,31.0,0,1,89.0,2.01,0,2014,1,0.41007194244604317,0.5088062622309196
488,Joel Embiid,0,0,6.2,2.1,0.9,2.0,31.0,2.5,3.6,3.2,78.3,36.7,0,1,127.0,2.13,1,2016,3,0.572463768115942,0.5754166073208944
489,Aaron Gordon,0,0,0.9,0.7,0.4,1.0,47.0,0.5,1.8,1.0,72.1,27.1,0,1,107.0,2.03,0,2014,4,0.2954545454545454,0.5181863477827604
490,Dante Exum,0,0,0.2,2.4,0.5,0.3,82.0,0.2,1.8,3.2,62.5,31.4,1,0,97.0,1.96,0,2014,5,0.07843137254901962,0.45368620037807184
491,Marcus Smart,0,0,1.2,3.1,1.5,0.9,67.0,0.3,2.6,4.1,64.6,33.5,1,0,100.0,1.93,0,2014,6,0.2676056338028169,0.4873477038425492
492,Julius Randle,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,113.0,2.03,1,2014,7,0.6666666666666666,0.2531645569620253
493,Nik Stauskas,0,0,0.8,0.9,0.3,0.2,73.0,0.2,1.3,2.0,85.9,32.2,1,0,94.0,1.98,0,2014,8,0.21951219512195125,0.4859193815571508
494,Elfrid Payton,0,0,1.4,6.5,1.7,1.3,82.0,0.2,2.4,0.5,55.1,26.2,1,0,88.0,1.91,0,2014,10,0.3023255813953489,0.4524656837824098
495,Doug McDermott,0,0,0.3,0.2,0.1,0.2,36.0,0.0,0.8,1.1,66.7,31.7,0,1,102.0,2.01,0,2014,11,0.13333333333333333,0.4702194357366771
496,Dario Saric,0,0,2.1,2.2,0.7,1.4,81.0,0.4,2.0,4.2,78.2,31.1,0,1,102.0,2.08,1,2016,12,0.2368421052631579,0.5046323674354425
497,Zach LaVine,0,0,1.9,3.6,0.7,0.4,77.0,0.1,2.1,2.2,84.2,34.1,1,1,91.0,1.96,0,2014,13,0.2613636363636363,0.5104877432398282
498,T.J. Warren,0,0,0.4,0.6,0.5,1.0,40.0,0.2,1.3,0.5,73.7,23.8,0,1,100.0,2.03,0,2014,14,0.09259259259259259,0.541019955654102
499,Jusuf Nurkic,0,0,1.4,0.8,0.8,2.0,62.0,1.1,3.3,0.0,63.6,0.0,0,0,132.0,2.11,1,2014,16,0.33870967741935487,0.47933310177144844
500,Tyler Ennis,0,0,0.3,1.8,0.0,0.1,8.0,0.3,0.4,0.8,100.0,33.3,1,0,88.0,1.91,0,2014,18,0.11538461538461538,0.5104831358249772
501,Gary Harris,0,0,0.6,0.5,0.7,0.4,55.0,0.1,1.3,1.9,74.5,20.4,1,0,95.0,1.93,0,2014,19,0.23076923076923078,0.3928365106874639
502,Mitch McGary,0,0,0.8,0.4,0.5,1.7,32.0,0.5,2.3,0.1,62.5,0.0,0,1,116.0,2.08,0,2014,21,0.25,0.5414697034808766
503,Jordan Adams,0,0,0.5,0.5,0.5,0.3,30.0,0.2,0.8,0.8,60.9,40.0,1,0,95.0,1.96,0,2014,22,0.27586206896551724,0.47256097560975613
504,Rodney Hood,0,0,1.2,1.7,0.6,0.2,50.0,0.2,2.4,3.4,76.3,36.5,1,1,94.0,2.03,0,2014,23,0.21333333333333335,0.5266343825665859
505,Shabazz Napier,0,0,0.9,2.5,0.8,0.3,51.0,0.1,1.5,2.3,78.6,36.4,1,0,79.0,1.83,0,2014,24,0.24444444444444446,0.507715281234445
506,Clint Capela,0,0,0.3,0.2,0.1,0.8,12.0,0.8,1.2,0.0,17.4,0.0,0,0,116.0,2.08,1,2014,25,0.7916666666666666,0.4087812263436791
507,PJ Hairston,0,0,0.7,0.5,0.5,0.5,45.0,0.3,1.4,3.6,86.1,30.1,1,1,104.0,1.98,0,2014,26,0.13333333333333333,0.43887147335423193
508,Bogdan Bogdanovic,0,0,1.3,3.3,0.9,0.4,78.0,0.2,2.2,4.2,84.0,39.2,1,0,102.0,1.98,0,2017,27,0.15151515151515152,0.5559481743227326
509,C.J. Wilcox,0,0,0.1,0.4,0.1,0.0,21.0,0.0,0.3,0.9,100.0,36.8,1,0,88.0,1.96,0,2014,28,0.05555555555555556,0.5412719891745602
510,Kyle Anderson,0,0,0.3,0.8,0.5,0.2,33.0,0.2,0.8,0.3,64.3,27.3,1,1,104.0,2.06,0,2014,30,0.14814814814814814,0.3806228373702422
511,Damien Inglis,0,0,0.4,0.5,0.3,0.1,20.0,0.2,0.6,0.7,87.5,23.1,0,1,112.0,2.03,0,2015,31,0.2105263157894737,0.430622009569378
512,KJ McDaniels,0,0,1.9,1.3,0.8,1.2,52.0,1.3,2.3,2.8,75.6,29.3,1,1,93.0,1.98,0,2014,32,0.308641975308642,0.4952893674293405
513,Joe Harris,0,0,0.2,0.5,0.1,0.1,51.0,0.0,1.2,1.6,60.0,36.9,1,1,100.0,1.98,0,2014,33,0.125,0.5309734513274337
514,Cleanthony Early,0,0,0.9,0.9,0.6,0.6,39.0,0.3,1.5,2.2,75.0,26.2,0,1,95.0,2.03,0,2014,34,0.21818181818181817,0.44481054365733114
515,Spencer Dinwiddie,0,0,0.9,3.1,0.6,0.1,34.0,0.2,1.6,1.9,91.2,18.5,1,0,98.0,1.98,0,2014,38,0.2,0.3926940639269407
516,Jerami Grant,0,0,1.8,1.2,0.6,0.8,65.0,1.0,2.2,2.4,59.1,31.4,0,1,95.0,2.03,0,2014,39,0.5555555555555555,0.4615384615384615
517,Nikola Jokic,0,0,1.9,2.4,1.0,2.3,80.0,0.6,2.6,1.1,81.1,33.3,0,0,129.0,2.11,1,2015,41,0.32,0.5787037037037037
518,Nick Johnson,0,0,0.6,0.4,0.3,0.5,28.0,0.1,1.2,0.8,68.0,23.8,1,0,92.0,1.91,0,2014,42,0.3333333333333333,0.41566746602717825
519,Edy Tavares,0,0,0.3,0.3,0.1,0.6,11.0,0.5,0.7,0.0,37.5,0.0,0,0,120.0,2.21,1,2015,43,0.4117647058823529,0.5658056580565806
520,Markel Brown,0,0,1.0,0.8,0.7,0.3,47.0,0.3,1.2,1.4,82.5,26.6,1,0,86.0,1.91,0,2014,44,0.26666666666666666,0.45364891518737666
521,Dwight Powell,0,0,0.2,0.0,0.4,0.0,5.0,0.0,0.2,0.0,50.0,0.0,0,1,109.0,2.08,1,2014,45,0.4,0.7563025210084034
522,Jordan Clarkson,0,0,2.2,3.5,0.9,0.9,59.0,0.2,1.8,2.1,82.9,31.4,1,0,88.0,1.93,0,2014,46,0.26732673267326734,0.5227322644410279
523,Cameron Bairstow,0,0,0.2,0.1,0.1,0.3,18.0,0.1,0.4,0.0,80.0,0.0,0,1,113.0,2.06,1,2014,49,0.37499999999999994,0.3183023872679045
524,Thanasis Antetokounmpo,0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.5,0.0,0.0,0,1,99.0,1.98,0,2015,51,0.0,0.75
525,Semaj Christon,0,0,0.3,2.0,0.4,0.3,64.0,0.1,1.2,1.0,54.8,19.0,1,0,86.0,1.91,0,2016,55,0.14285714285714285,0.3879598662207358
526,Devyn Marble,0,0,0.3,1.1,0.6,0.3,16.0,0.1,0.9,1.4,31.3,18.2,0,1,91.0,1.98,0,2014,56,0.35714285714285715,0.3511450381679389
527,Jordan McRae,0,0,1.7,1.4,0.4,0.3,7.0,0.0,1.0,1.6,80.0,27.3,1,0,81.0,1.96,0,2015,58,0.5675675675675675,0.564129856306546
528,Karl-Anthony Towns,0,1,2.7,2.0,0.7,2.8,82.0,1.7,3.0,1.1,81.1,34.1,0,1,112.0,2.11,1,2015,1,0.24113475177304963,0.5822462615335667
529,D'Angelo Russell,0,0,1.8,3.3,1.2,0.6,80.0,0.2,1.8,4.6,73.7,35.1,1,0,88.0,1.93,0,2015,2,0.19999999999999998,0.502283105022831
530,Jahlil Okafor,0,0,2.5,1.2,0.4,2.3,53.0,1.2,2.6,0.1,68.6,16.7,0,1,122.0,2.08,1,2015,3,0.25170068027210885,0.5316724897463163
531,Kristaps Porzingis,0,0,2.8,1.3,0.7,1.8,72.0,1.9,2.8,3.4,83.8,33.3,0,1,109.0,2.21,1,2015,4,0.26829268292682923,0.5155940147827655
532,Mario Hezonja,0,0,0.6,1.4,0.5,0.4,79.0,0.2,1.6,2.4,90.7,34.9,1,1,100.0,2.03,0,2015,5,0.1320754716981132,0.5415002219263205
533,Stanley Johnson,0,0,1.1,1.6,0.8,0.8,73.0,0.2,2.4,2.8,78.4,30.7,1,1,110.0,1.98,0,2015,8,0.17073170731707318,0.4568527918781726
534,Frank Kaminsky,0,0,1.3,1.2,0.5,0.9,81.0,0.5,1.6,2.5,73.0,33.7,0,1,109.0,2.13,1,2015,9,0.27692307692307694,0.5098572399728076
535,Justise Winslow,0,0,1.0,1.5,0.9,1.0,78.0,0.3,2.4,1.5,68.4,27.6,1,1,101.0,1.98,0,2015,10,0.2542372881355932,0.48393194706994325
