,Unnamed: 0,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY,CENTER,FORWARD,GUARD
428,428,JaVale McGee,Nevada-Reno,18,2008-09,WAS,75,15.2,6.5,2.5,5.2,49.4,0.0,0.0,0.0,1.4,2.2,66.0,1.6,2.3,3.9,0.3,0.8,0.4,1.0,2.1,15.2,4.0,0.0,-3.9,2.13,122.0,Center-Forward,0,1,1,0
429,429,JJ Hickson,North Carolina State,19,2008-09,CLE,62,11.4,4.0,1.6,3.1,51.5,0.0,0.0,0.0,0.7,1.1,67.2,0.8,1.8,2.7,0.1,0.7,0.2,0.5,1.3,8.8,0.0,0.0,-1.7,2.06,110.0,Center-Forward,0,1,1,0
430,430,Alexis Ajinca,Hyeres-Toulon Var Basket (France),20,2008-09,CHA,31,5.9,2.3,0.8,2.2,36.2,0.0,0.1,0.0,0.6,0.9,71.4,0.3,0.7,1.0,0.1,0.4,0.2,0.2,1.1,4.4,0.0,0.0,0.2,2.18,112.0,Center,0,1,0,0
432,432,Courtney Lee,Western Kentucky,22,2008-09,ORL,77,25.2,8.4,3.2,7.0,45.0,1.1,2.6,40.4,1.0,1.2,83.0,0.2,2.1,2.3,1.2,0.9,1.0,0.2,2.0,15.5,0.0,0.0,3.1,1.96,98.0,Guard,0,0,0,1
433,433,Kosta Koufos,Ohio State,23,2008-09,UTA,48,11.8,4.7,2.0,3.9,50.8,0.0,0.0,0.0,0.8,1.1,70.6,1.0,1.8,2.9,0.4,0.5,0.3,0.6,1.5,10.9,0.0,0.0,-0.3,2.13,111.0,Center,0,1,0,0
434,434,Serge Ibaka,CB L'Hospitalet (Spain),24,2009-10,OKC,73,18.1,6.3,2.8,5.1,54.3,0.0,0.0,50.0,0.8,1.3,63.0,1.9,3.5,5.4,0.1,0.9,0.3,1.3,2.7,17.1,4.0,0.0,0.1,2.08,107.0,Forward,0,0,1,0
435,435,Nicolas Batum,Le Mans Sarthe Basket (France),25,2008-09,POR,79,18.4,5.4,2.0,4.6,44.6,0.8,2.1,36.9,0.5,0.7,80.8,1.1,1.7,2.8,0.9,0.6,0.6,0.5,1.8,12.9,0.0,0.0,2.3,2.03,104.0,Guard-Forward,0,0,1,1
436,436,George Hill,IUPUI,26,2008-09,SAS,77,16.5,5.7,1.9,4.8,40.3,0.3,0.9,32.9,1.5,1.9,78.1,0.4,1.7,2.1,1.8,1.0,0.6,0.3,1.9,12.4,1.0,0.0,0.3,1.93,85.0,Guard,0,0,0,1
437,437,Darrell Arthur,Kansas,27,2008-09,MEM,76,19.3,5.6,2.5,5.7,43.8,0.0,0.0,0.0,0.5,0.8,66.7,1.4,3.1,4.6,0.6,0.6,0.7,0.7,2.7,15.4,2.0,0.0,-3.0,2.06,107.0,Forward,0,0,1,0
439,439,DJ White,Indiana,29,2008-09,OKC,7,18.5,8.9,3.7,7.1,52.0,0.0,0.0,0.0,1.4,1.9,76.9,1.4,3.1,4.6,0.9,0.4,0.4,0.7,1.4,18.6,1.0,0.0,0.0,2.06,113.0,Forward,0,0,1,0
440,440,J.R. Giddens,New Mexico,30,2008-09,BOS,6,1.3,0.7,0.3,0.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.0,0.2,0.2,0.0,0.2,1.6,0.0,0.0,0.2,1.96,98.0,Guard,0,0,0,1
441,441,Nikola Pekovic,KK Partizan (Serbia),31,2010-11,MIN,65,13.7,5.5,2.1,4.0,51.7,0.0,0.0,0.0,1.3,1.8,76.3,1.4,1.6,3.0,0.4,1.4,0.3,0.5,2.8,10.8,1.0,0.0,-3.3,2.11,139.0,Center,0,1,0,0
442,442,Walter Sharpe,Alabama-Birmingham,32,2008-09,DET,8,2.4,1.0,0.5,1.4,36.4,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.3,0.4,2.2,0.0,0.0,-1.1,2.06,111.0,Forward,0,0,1,0
444,444,Mario Chalmers,Kansas,34,2008-09,MIA,82,32.0,10.0,3.4,8.1,42.0,1.4,3.8,36.7,1.8,2.4,76.7,0.5,2.3,2.8,4.9,2.0,2.0,0.1,2.9,24.8,1.0,0.0,0.4,1.88,86.0,Guard,0,0,0,1
445,445,DeAndre Jordan,Texas A&M,35,2008-09,LAC,53,14.6,4.3,1.8,2.8,63.3,0.0,0.0,0.0,0.8,2.1,38.5,1.4,3.1,4.5,0.2,0.8,0.2,1.1,1.8,13.2,3.0,0.0,-4.6,2.11,120.0,Center,0,1,0,0
446,446,Omer Asik,Fenerbahce S.K. (Turkey),36,2010-11,CHI,82,12.1,2.8,1.0,1.7,55.3,0.0,0.0,0.0,0.9,1.8,50.3,1.4,2.4,3.7,0.4,0.8,0.2,0.7,1.9,9.9,1.0,0.0,2.9,2.13,116.0,Center,0,1,0,0
447,447,Luc Mbah a Moute,California-Los Angeles,37,2008-09,MIL,82,25.8,7.2,2.8,6.0,46.2,0.0,0.0,0.0,1.7,2.3,72.9,2.3,3.6,5.9,1.1,1.2,1.1,0.5,2.5,19.6,4.0,0.0,-0.4,2.03,104.0,Forward,0,0,1,0
451,451,Nathan Jawai,Cairns Taipans (Australia),41,2008-09,TOR,6,3.1,0.3,0.2,0.7,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.3,0.0,0.0,0.5,0.4,0.0,0.0,-1.3,2.08,127.0,Forward,0,0,1,0
452,452,Sean Singletary,Virginia,42,2008-09,PHX,13,9.4,2.6,0.9,2.8,32.4,0.3,0.8,40.0,0.5,0.5,100.0,0.4,0.8,1.2,0.9,0.4,0.5,0.0,1.1,6.5,0.0,0.0,-1.2,1.83,84.0,Guard,0,0,0,1
453,453,Patrick Ewing,Georgetown,43,2010-11,NOH,7,2.7,0.4,0.0,0.7,0.0,0.0,0.3,0.0,0.4,0.6,75.0,0.1,0.1,0.3,0.3,0.1,0.0,0.1,0.1,1.5,0.0,0.0,-0.6,2.03,107.0,Forward,1,0,1,0
455,455,Goran Dragic,KK Olimpija (Slovenia),45,2008-09,PHX,55,13.2,4.5,1.6,4.1,39.3,0.4,1.0,37.0,0.9,1.2,76.9,0.6,1.3,1.9,2.0,1.3,0.5,0.1,1.6,10.2,0.0,0.0,-0.2,1.91,86.0,Guard,0,0,0,1
457,457,Henry Walker,Kansas State,47,2008-09,BOS,29,7.4,3.0,1.2,2.0,62.1,0.0,0.0,0.0,0.6,0.8,69.6,0.3,0.7,1.0,0.4,0.6,0.2,0.1,1.8,5.1,0.0,0.0,-2.1,1.98,107.0,Forward,0,0,1,0
458,458,Malik Hairston,Oregon,48,2008-09,SAS,15,10.3,3.3,1.6,3.3,49.0,0.0,0.1,0.0,0.1,0.5,28.6,0.7,1.1,1.9,0.9,0.8,0.4,0.5,1.3,8.7,0.0,0.0,0.1,1.98,100.0,Guard,0,0,0,1
462,462,Darnell Jackson,Kansas,52,2008-09,CLE,51,8.4,1.9,0.7,1.7,43.0,0.0,0.0,0.0,0.5,0.7,68.6,0.6,1.1,1.7,0.2,0.3,0.2,0.1,1.5,4.8,0.0,0.0,-1.4,2.06,115.0,Forward,0,0,1,0
465,465,Mike Taylor,Idaho Stampede (D-League),55,2008-09,LAC,51,15.1,5.7,2.2,5.2,41.2,0.3,0.8,32.5,1.1,1.6,69.1,0.4,1.3,1.7,2.1,1.4,0.7,0.0,1.6,11.5,0.0,0.0,-2.6,1.88,75.0,Guard,0,0,0,1
466,466,Sasha Kaun,Kansas,56,2015-16,CLE,25,3.8,0.9,0.4,0.7,52.9,0.0,0.0,0.0,0.2,0.4,45.5,0.5,0.6,1.0,0.1,0.3,0.2,0.2,0.4,3.1,0.0,0.0,-0.1,2.11,118.0,Center,0,1,0,0
468,468,Joe Crawford,Kentucky,58,2008-09,NYK,2,11.4,4.5,1.5,5.0,30.0,0.5,2.0,25.0,1.0,1.0,100.0,0.5,1.5,2.0,0.5,0.0,0.5,0.0,1.0,9.2,0.0,0.0,3.5,1.96,95.0,Guard,0,0,0,1
470,470,Semih Erden,Fenerbahce S.K. (Turkey),60,2010-11,BOS,37,14.3,4.1,1.6,2.6,59.8,0.0,0.0,0.0,0.9,1.5,63.0,0.8,2.1,2.9,0.5,0.9,0.4,0.6,2.5,10.2,0.0,0.0,-0.6,2.13,109.0,Center,0,1,0,0
471,471,Blake Griffin,Oklahoma,1,2010-11,LAC,82,37.9,22.5,8.5,16.8,50.6,0.1,0.3,29.2,5.4,8.5,64.2,3.3,8.8,12.1,3.8,2.7,0.8,0.5,3.1,43.9,63.0,2.0,-1.8,2.06,113.0,Forward,1,0,1,0
472,472,Hasheem Thabeet,Connecticut,2,2009-10,MEM,68,13.0,3.1,1.1,1.9,58.8,0.0,0.0,0.0,0.8,1.4,58.1,1.3,2.3,3.6,0.2,0.6,0.2,1.3,2.4,11.5,0.0,0.0,-1.1,2.21,119.0,Center,0,1,0,0
473,473,James Harden,Arizona State,3,2009-10,OKC,76,22.9,9.9,3.1,7.6,40.3,1.2,3.3,37.5,2.6,3.2,80.8,0.6,2.6,3.2,1.8,1.4,1.1,0.3,2.6,19.0,0.0,0.0,2.4,1.96,100.0,Guard,0,0,0,1
475,475,Ricky Rubio,Joventut Badalona (Spain),5,2011-12,MIN,41,34.2,10.6,3.4,9.5,35.7,0.8,2.3,34.0,3.1,3.8,80.3,0.5,3.7,4.2,8.2,3.2,2.2,0.2,2.4,32.0,12.0,0.0,1.2,1.88,86.0,Guard,0,0,0,1
476,476,Jonny Flynn,Syracuse,6,2009-10,MIN,81,28.9,13.5,4.9,11.8,41.7,1.0,2.7,35.8,2.8,3.3,82.6,0.3,2.1,2.4,4.4,2.9,1.0,0.0,1.2,23.2,0.0,0.0,-7.7,1.83,84.0,Guard,0,0,0,1
477,477,Stephen Curry,Davidson,7,2009-10,GSW,80,36.2,17.5,6.6,14.3,46.2,2.1,4.8,43.7,2.2,2.5,88.5,0.6,3.9,4.5,5.9,3.0,1.9,0.2,3.2,35.1,12.0,1.0,-2.3,1.88,84.0,Guard,0,0,0,1
478,478,Jordan Hill,Arizona,8,2009-10,NYK,24,10.5,4.0,1.7,3.8,44.6,0.0,0.1,0.0,0.6,0.9,71.4,1.3,1.2,2.5,0.3,0.5,0.4,0.4,1.5,9.4,0.0,0.0,-1.0,2.08,109.0,Forward-Center,0,1,1,0
479,479,DeMar DeRozan,Southern California,9,2009-10,TOR,77,21.6,8.6,3.3,6.6,49.8,0.1,0.2,25.0,1.9,2.5,76.3,0.9,2.0,2.9,0.7,0.8,0.6,0.2,2.3,14.7,0.0,0.0,-3.0,1.98,100.0,Guard-Forward,0,0,1,1
480,480,Brandon Jennings,Pallacanestro Virtus Roma (Italy),10,2009-10,MIL,82,32.6,15.5,5.5,14.8,37.1,1.8,4.7,37.4,2.7,3.3,81.7,0.6,2.8,3.4,5.7,2.4,1.3,0.2,2.3,30.3,2.0,0.0,1.4,1.85,77.0,Guard,0,0,0,1
481,481,Terrence Williams,Louisville,11,2009-10,NJN,78,22.6,8.4,3.3,8.3,40.1,0.4,1.3,31.0,1.3,1.8,71.5,0.6,3.9,4.5,2.9,1.6,0.6,0.1,1.6,18.5,8.0,1.0,-3.4,1.98,100.0,Guard-Forward,0,0,1,1
482,482,Gerald Henderson,Duke,12,2009-10,CHA,43,8.3,2.6,0.9,2.4,35.6,0.1,0.4,21.1,0.8,1.1,74.5,0.3,0.9,1.3,0.3,0.3,0.2,0.2,0.6,5.6,0.0,0.0,-0.4,1.96,98.0,Guard,0,0,0,1
484,484,Earl Clark,Louisville,14,2009-10,PHX,51,7.5,2.7,1.1,3.0,37.1,0.0,0.1,40.0,0.5,0.7,72.2,0.4,0.9,1.2,0.4,0.5,0.1,0.3,0.5,5.5,0.0,0.0,-0.7,2.08,106.0,Forward,0,0,1,0
485,485,Austin Daye,Gonzaga,15,2009-10,DET,69,13.3,5.1,2.0,4.3,46.4,0.4,1.4,30.5,0.7,0.8,82.1,0.5,2.0,2.5,0.5,0.7,0.4,0.4,1.7,10.3,1.0,0.0,-1.7,2.11,100.0,Forward,0,0,1,0
487,487,Jrue Holiday,California-Los Angeles,17,2009-10,PHI,73,24.2,8.0,3.2,7.1,44.2,0.8,2.2,39.0,0.9,1.2,75.6,0.8,1.8,2.6,3.8,2.1,1.1,0.2,2.1,18.8,2.0,0.0,-2.2,1.91,93.0,Guard,0,0,0,1
488,488,Ty Lawson,North Carolina,18,2009-10,DEN,65,20.3,8.3,3.1,6.0,51.5,0.5,1.3,41.0,1.6,2.2,75.7,0.6,1.3,1.9,3.1,1.3,0.7,0.0,1.4,16.4,0.0,0.0,2.6,1.8,88.0,Guard,0,0,0,1
489,489,Jeff Teague,Wake Forest,19,2009-10,ATL,71,10.1,3.2,1.3,3.2,39.6,0.1,0.5,21.9,0.6,0.7,83.7,0.1,0.9,0.9,1.7,0.7,0.5,0.2,1.2,8.1,1.0,0.0,-0.6,1.91,88.0,Guard,0,0,0,1
494,494,Byron Mullens,Ohio State,24,2009-10,OKC,13,4.2,1.1,0.5,1.5,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.8,0.1,0.3,0.2,0.0,1.0,2.3,0.0,0.0,-2.5,2.13,125.0,Center,0,1,0,0
495,495,Rodrigue Beaubois,Cholet Basket (France),25,2009-10,DAL,56,12.5,7.1,2.8,5.3,51.8,0.8,2.0,40.9,0.8,0.9,80.8,0.2,1.2,1.4,1.3,1.0,0.5,0.2,1.5,12.0,0.0,0.0,1.0,1.88,84.0,Guard,0,0,0,1
496,496,Taj Gibson,Southern California,26,2009-10,CHI,82,26.9,9.0,3.8,7.7,49.4,0.0,0.0,0.0,1.4,2.1,64.6,2.8,4.7,7.5,0.9,1.4,0.6,1.3,3.4,23.4,18.0,0.0,-0.8,2.06,105.0,Forward,0,0,1,0
497,497,DeMarre Carroll,Missouri,27,2009-10,MEM,71,11.2,2.9,1.2,3.1,39.6,0.0,0.1,0.0,0.5,0.7,62.3,0.7,1.4,2.1,0.5,0.3,0.4,0.1,1.5,7.4,0.0,0.0,-0.7,1.98,98.0,Forward,0,0,1,0
500,500,Christian Eyenga,CB Prat (Spain),30,2010-11,CLE,44,21.5,6.9,3.0,7.0,42.5,0.6,2.1,27.5,0.4,0.6,64.3,0.6,2.2,2.8,0.8,1.1,0.8,0.6,1.8,14.6,0.0,0.0,-4.6,2.01,95.0,Forward,0,0,1,0
501,501,Jeff Ayres,Arizona State,31,2009-10,POR,39,10.4,2.7,1.1,1.7,66.2,0.0,0.0,0.0,0.5,0.5,90.0,0.6,1.9,2.5,0.0,0.3,0.2,0.4,1.9,7.2,0.0,0.0,-1.5,2.06,113.0,Forward-Center,0,1,1,0
503,503,Dante Cunningham,Villanova,33,2009-10,POR,63,11.2,3.9,1.7,3.4,49.5,0.0,0.0,0.0,0.5,0.8,64.6,0.9,1.7,2.5,0.2,0.2,0.4,0.3,1.5,9.2,1.0,0.0,0.7,2.03,104.0,Forward,0,0,1,0
505,505,DaJuan Summers,Georgetown,35,2009-10,DET,44,9.2,3.0,1.0,3.0,35.4,0.3,1.0,35.7,0.6,0.9,71.1,0.3,0.7,1.0,0.4,0.4,0.2,0.2,1.2,5.5,0.0,0.0,-2.4,2.03,109.0,Forward,0,0,1,0
506,506,Sam Young,Pittsburgh,36,2009-10,MEM,80,16.5,7.4,2.8,6.2,45.1,0.1,0.7,19.6,1.7,2.2,77.7,1.0,1.6,2.5,0.7,1.2,0.4,0.3,1.3,12.3,0.0,0.0,-2.9,1.98,102.0,Forward-Guard,0,0,1,1
508,508,Jon Brockman,Washington,38,2009-10,SAC,52,12.6,2.8,1.1,2.0,53.4,0.0,0.0,0.0,0.7,1.2,59.7,2.0,2.1,4.1,0.4,0.4,0.3,0.1,2.2,9.1,1.0,0.0,-0.6,2.01,116.0,Forward,0,0,1,0
509,509,Jonas Jerebko,Pallacanestro Biella (Italy),39,2009-10,DET,80,27.9,9.3,3.6,7.5,48.1,0.5,1.4,31.3,1.6,2.2,71.0,2.4,3.6,6.0,0.7,1.0,1.0,0.4,2.9,20.5,7.0,0.0,-2.0,2.08,105.0,Forward,0,0,1,0
510,510,Derrick Brown,Xavier,40,2009-10,CHA,57,9.4,3.3,1.2,2.6,46.3,0.0,0.1,28.6,0.8,1.3,66.7,0.5,0.8,1.4,0.3,0.3,0.4,0.2,0.9,6.7,0.0,0.0,-0.2,2.03,106.0,Forward,0,0,1,0
511,511,Jodie Meeks,Kentucky,41,2009-10,MIL,41,11.9,4.1,1.6,4.3,36.2,0.6,2.0,28.0,0.4,0.5,85.7,0.1,1.6,1.8,0.5,0.5,0.3,0.1,0.8,7.8,0.0,0.0,0.3,1.93,95.0,Guard,0,0,0,1
512,512,Patrick Beverley,BC Dnipro (Ukraine),42,2012-13,HOU,41,17.4,5.6,1.9,4.6,41.8,0.9,2.3,37.5,0.8,1.0,82.9,1.1,1.6,2.7,2.9,1.1,0.9,0.5,2.0,16.2,0.0,0.0,2.9,1.85,82.0,Guard,0,0,0,1
514,514,Chase Budinger,Arizona,44,2009-10,HOU,74,20.1,8.9,3.4,7.6,44.1,1.2,3.4,36.9,0.9,1.2,77.0,0.5,2.5,3.0,1.2,0.6,0.5,0.1,1.1,15.4,2.0,0.0,0.0,2.01,95.0,Forward,0,0,1,0
515,515,Nick Calathes,Florida,45,2013-14,MEM,71,16.5,4.9,2.0,4.4,45.7,0.3,0.9,31.1,0.6,1.0,61.1,0.3,1.6,1.9,2.9,1.4,0.9,0.1,1.6,13.3,0.0,0.0,0.3,1.98,97.0,Guard,0,0,0,1
516,516,Danny Green,North Carolina,46,2009-10,CLE,20,5.7,2.0,0.8,2.0,38.5,0.3,1.1,27.3,0.2,0.3,66.7,0.4,0.5,0.9,0.3,0.3,0.3,0.2,0.5,4.5,0.0,0.0,-1.1,1.98,98.0,Guard,0,0,0,1
518,518,Taylor Griffin,Oklahoma,48,2009-10,PHX,8,4.1,1.3,0.5,1.3,40.0,0.0,0.3,0.0,0.3,0.5,50.0,0.0,0.3,0.3,0.1,0.1,0.0,0.3,0.5,2.4,0.0,0.0,-0.4,2.01,108.0,Forward,0,0,1,0
523,523,Nando De Colo,Cholet Basket (France),53,2012-13,SAS,72,12.8,3.8,1.5,3.3,43.6,0.4,1.1,37.8,0.5,0.6,79.5,0.3,1.6,1.9,1.9,1.1,0.6,0.1,1.2,9.8,0.0,0.0,-0.5,1.96,88.0,Guard,0,0,0,1
525,525,Patty Mills,St. Mary's (CA),55,2009-10,POR,10,3.8,2.6,1.0,2.4,41.7,0.2,0.4,50.0,0.4,0.7,57.1,0.1,0.1,0.2,0.5,0.4,0.0,0.0,0.6,3.2,0.0,0.0,-1.5,1.83,82.0,Guard,0,0,0,1
528,528,Lester Hudson,Tennessee-Martin,58,2009-10,BOS,16,4.4,1.4,0.4,1.1,38.9,0.2,0.3,60.0,0.3,0.4,83.3,0.2,0.3,0.5,0.5,0.6,0.2,0.1,0.4,3.1,0.0,0.0,0.5,1.91,86.0,Guard,0,0,0,1
531,531,John Wall,Kentucky,1,2010-11,WAS,69,37.8,16.4,5.8,14.1,40.9,0.5,1.7,29.6,4.4,5.7,76.6,0.5,4.1,4.6,8.3,3.8,1.8,0.5,2.5,37.4,26.0,1.0,-6.4,1.91,95.0,Guard,0,0,0,1
532,532,Evan Turner,Ohio State,2,2010-11,PHI,78,23.0,7.2,2.9,6.8,42.5,0.2,0.6,31.8,1.3,1.6,80.8,0.5,3.4,3.9,2.0,1.0,0.6,0.2,1.8,16.4,2.0,0.0,-0.6,1.98,100.0,Guard-Forward,0,0,1,1
533,533,Derrick Favors,Georgia Tech,3,2010-11,NJN,56,19.5,6.3,2.5,4.9,51.1,0.0,0.0,0.0,1.3,2.1,61.2,2.3,3.1,5.3,0.4,1.0,0.3,0.7,3.3,15.4,2.0,0.0,-2.7,2.06,120.0,Forward,0,0,1,0
534,534,Wesley Johnson,Syracuse,4,2010-11,MIN,79,26.2,9.0,3.4,8.6,39.7,1.3,3.7,35.6,0.8,1.2,69.6,0.6,2.4,3.0,1.9,1.2,0.7,0.7,2.1,18.5,0.0,0.0,-2.8,2.01,98.0,Forward-Guard,0,0,1,1
535,535,DeMarcus Cousins,Kentucky,5,2010-11,SAC,81,28.5,14.1,5.3,12.4,43.0,0.0,0.2,16.7,3.4,5.0,68.7,2.7,6.0,8.6,2.5,3.3,1.0,0.8,4.1,30.6,26.0,0.0,-3.3,2.08,122.0,Center,0,1,0,0
536,536,Ekpe Udoh,Baylor,6,2010-11,GSW,58,17.8,4.1,1.7,3.8,43.7,0.0,0.0,0.0,0.7,1.1,65.6,1.4,1.7,3.1,0.7,0.8,0.4,1.5,2.5,13.6,0.0,0.0,1.8,2.08,111.0,Center-Forward,0,1,1,0
537,537,Greg Monroe,Georgetown,7,2010-11,DET,80,27.8,9.4,3.8,6.9,55.1,0.0,0.0,0.0,1.8,2.9,62.2,3.1,4.4,7.5,1.3,1.0,1.2,0.6,2.5,24.5,21.0,0.0,-1.7,2.08,113.0,Forward-Center,0,1,1,0
538,538,Al-Farouq Aminu,Wake Forest,8,2010-11,LAC,81,17.9,5.6,2.0,5.0,39.4,0.6,1.8,31.5,1.1,1.5,77.3,0.9,2.4,3.3,0.7,1.3,0.7,0.3,1.5,12.5,0.0,0.0,-2.3,2.03,100.0,Forward,0,0,1,0
539,539,Gordon Hayward,Butler,9,2010-11,UTA,72,16.9,5.4,2.0,4.1,48.5,0.5,1.0,47.3,1.0,1.3,71.1,0.6,1.4,1.9,1.1,1.0,0.4,0.3,1.5,10.5,0.0,0.0,-2.7,2.01,102.0,Forward,0,0,1,0
540,540,Paul George,Fresno State,10,2010-11,IND,61,20.7,7.8,2.9,6.5,45.3,0.7,2.3,29.7,1.3,1.7,76.2,0.6,3.1,3.7,1.1,1.1,1.0,0.4,2.1,17.0,0.0,0.0,-0.1,2.03,100.0,Forward,0,0,1,0
541,541,Cole Aldrich,Kansas,11,2010-11,OKC,18,7.9,1.0,0.4,0.8,53.3,0.0,0.0,0.0,0.1,0.2,50.0,0.7,1.2,1.9,0.2,0.4,0.3,0.4,1.7,5.2,0.0,0.0,0.4,2.11,115.0,Center,0,1,0,0
543,543,Ed Davis,North Carolina,13,2010-11,TOR,65,24.6,7.7,3.3,5.7,57.6,0.0,0.0,0.0,1.1,2.0,55.5,2.6,4.5,7.1,0.6,0.7,0.6,1.0,2.8,21.3,13.0,0.0,-5.2,2.06,99.0,Center-Forward,0,1,1,0
544,544,Patrick Patterson,Kentucky,14,2010-11,HOU,52,16.7,6.3,2.9,5.1,55.8,0.0,0.0,0.0,0.6,0.8,71.4,1.7,2.2,3.8,0.8,0.6,0.3,0.7,1.5,14.6,4.0,0.0,0.2,2.03,107.0,Forward,0,0,1,0
546,546,Luke Babbitt,Nevada-Reno,16,2010-11,POR,24,5.7,1.5,0.6,2.3,27.3,0.1,0.7,18.8,0.1,0.4,33.3,0.3,1.0,1.3,0.3,0.3,0.1,0.1,0.6,3.5,1.0,0.0,-1.3,2.06,102.0,Forward,0,0,1,0
547,547,Kevin Seraphin,Cholet Basket (France),17,2010-11,WAS,58,10.9,2.7,1.1,2.5,44.9,0.0,0.0,0.0,0.4,0.5,71.0,1.4,1.2,2.6,0.2,0.7,0.3,0.5,2.2,7.7,0.0,0.0,-3.4,2.08,126.0,Forward-Center,0,1,1,0
548,548,Eric Bledsoe,Kentucky,18,2010-11,LAC,81,22.7,6.7,2.5,6.0,42.4,0.4,1.4,27.6,1.2,1.6,74.4,0.8,1.9,2.8,3.6,2.4,1.1,0.3,1.6,17.3,1.0,0.0,-2.7,1.85,97.0,Guard,0,0,0,1
549,549,Avery Bradley,Texas,19,2010-11,BOS,31,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,1.91,82.0,Guard,0,0,0,1
550,550,James Anderson,Oklahoma State,20,2010-11,SAS,26,11.0,3.6,1.2,3.1,38.3,0.7,1.8,39.1,0.5,0.7,77.8,0.1,0.8,0.9,0.7,0.5,0.1,0.2,0.9,6.3,0.0,0.0,-1.9,1.98,97.0,Guard-Forward,0,0,1,1
551,551,Craig Brackins,Iowa State,21,2010-11,PHI,3,10.9,2.7,1.3,5.3,25.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.0,1.0,5.8,0.0,0.0,-3.7,2.08,104.0,Forward,0,0,1,0
553,553,Trevor Booker,Clemson,23,2010-11,WAS,65,16.4,5.3,2.1,3.9,54.9,0.0,0.0,0.0,1.0,1.6,67.3,1.5,2.4,3.9,0.5,0.6,0.4,0.6,1.8,13.5,5.0,0.0,-2.7,2.03,103.0,Forward,0,0,1,0
554,554,Damion James,Texas,24,2010-11,NJN,25,16.1,4.4,1.8,4.1,44.7,0.0,0.1,0.0,0.7,1.1,64.3,0.7,2.7,3.4,0.8,1.0,0.6,0.5,1.4,12.0,0.0,0.0,-1.2,2.01,102.0,Forward,0,0,1,0
556,556,Quincy Pondexter,Washington,26,2010-11,NOH,66,11.1,2.8,1.1,2.7,40.6,0.3,0.8,36.0,0.4,0.5,70.6,0.3,1.0,1.3,0.4,0.2,0.3,0.2,1.0,6.1,0.0,0.0,-1.1,2.01,104.0,Forward,0,0,1,0
557,557,Jordan Crawford,Xavier,27,2010-11,ATL,16,10.0,4.2,1.7,4.8,35.1,0.6,1.7,33.3,0.3,0.4,66.7,0.6,1.2,1.8,0.9,0.9,0.2,0.0,0.8,7.3,0.0,0.0,-2.1,1.96,88.0,Guard,0,0,0,1
561,561,Tibor Pleiss,Brose Baskets (Germany),31,2015-16,UTA,12,6.8,2.0,0.9,2.1,44.0,0.0,0.2,0.0,0.2,0.2,100.0,0.5,0.8,1.3,0.2,0.7,0.1,0.2,1.6,3.8,0.0,0.0,-1.3,2.21,116.0,Center,0,1,0,0
563,563,Hassan Whiteside,Marshall,33,2010-11,SAC,1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-4.0,2.13,120.0,Center,0,1,0,0
564,564,Armon Johnson,Nevada-Reno,34,2010-11,POR,38,7.3,2.9,1.2,2.7,45.5,0.1,0.3,41.7,0.3,0.6,59.1,0.3,0.7,0.9,1.2,1.0,0.1,0.0,0.8,5.3,0.0,0.0,-0.6,1.91,88.0,Guard,0,0,0,1
565,565,Nemanja Bjelica,KK Crvena zvezda (Serbia),35,2015-16,MIN,60,17.9,5.1,1.8,3.9,46.8,0.8,2.1,38.4,0.7,0.9,72.7,0.8,2.7,3.5,1.4,0.8,0.4,0.4,2.6,13.0,3.0,0.0,-2.1,2.06,106.0,Forward,0,0,1,0
568,568,Andy Rautins,Syracuse,38,2010-11,NYK,5,4.8,1.6,0.6,1.4,42.9,0.2,0.8,25.0,0.2,0.4,50.0,0.0,0.2,0.2,0.6,1.4,0.2,0.0,0.0,1.9,0.0,0.0,-2.2,1.93,86.0,Guard,0,0,0,1
569,569,Landry Fields,Stanford,39,2010-11,NYK,82,31.0,9.7,3.6,7.3,49.7,1.0,2.7,39.3,1.4,1.8,76.9,1.3,5.1,6.4,1.9,1.3,1.0,0.2,1.4,22.4,11.0,0.0,0.8,2.01,98.0,Guard-Forward,0,0,1,1
