,Unnamed: 0,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY,CENTER,FORWARD,GUARD
319,319,Mardy Collins,Temple,29,2006-07,NYK,52,14.9,4.5,1.7,4.4,38.2,0.3,0.9,27.7,0.9,1.6,58.5,0.5,1.5,2.0,1.6,1.1,0.6,0.1,1.4,10.2,3.0,0.0,-1.9,1.98,100.0,Guard,0,0,0,1
320,320,Joel Freeland,CB Gran Canaria (Spain),30,2012-13,POR,51,9.4,2.6,1.1,2.8,40.8,0.0,0.0,0.0,0.4,0.5,66.7,0.8,1.5,2.3,0.3,0.4,0.3,0.2,1.3,6.8,0.0,0.0,-1.8,2.08,102.0,Center-Forward,0,1,1,0
321,321,James White,Cincinnati,31,2006-07,SAS,6,22.8,8.3,3.0,6.8,43.9,0.3,1.2,28.6,2.0,2.5,80.0,0.5,2.8,3.3,0.8,0.8,0.5,0.2,1.2,14.8,0.0,0.0,-3.7,2.01,98.0,Guard-Forward,0,0,1,1
325,325,P.J. Tucker,Texas,35,2006-07,TOR,17,4.9,1.8,0.6,1.3,50.0,0.0,0.0,0.0,0.5,0.8,57.1,0.6,0.7,1.4,0.2,0.4,0.1,0.0,0.7,3.7,0.0,0.0,-1.9,1.96,111.0,Forward,0,0,1,0
326,326,Craig Smith,Boston College,36,2006-07,MIN,82,18.7,7.4,3.0,5.6,53.1,0.0,0.1,0.0,1.4,2.3,62.4,1.8,3.2,5.1,0.6,0.9,0.6,0.2,2.7,16.0,3.0,0.0,-1.6,2.01,120.0,Forward,0,0,1,0
327,327,Bobby Jones,Washington,37,2006-07,PHI,44,7.6,2.5,1.0,2.1,46.2,0.0,0.2,11.1,0.5,0.9,56.1,0.5,0.8,1.3,0.4,0.4,0.3,0.0,1.3,5.0,0.0,0.0,0.8,2.01,98.0,Forward,0,0,1,0
328,328,Kosta Perovic,KK Partizan (Serbia),38,2007-08,GSW,7,5.4,1.4,0.4,1.4,30.0,0.0,0.0,0.0,0.6,0.9,66.7,0.9,1.0,1.9,0.1,0.1,0.0,0.3,0.9,4.6,0.0,0.0,0.6,2.18,109.0,Center,0,1,0,0
329,329,David Noel,North Carolina,39,2006-07,MIL,68,11.6,2.7,1.0,2.6,36.7,0.3,0.8,32.1,0.5,0.6,86.0,0.6,1.2,1.8,1.0,0.6,0.4,0.1,1.1,7.2,0.0,0.0,-2.6,1.98,104.0,Forward-Guard,0,0,1,1
331,331,James Augustine,Illinois,41,2006-07,ORL,2,3.7,1.0,0.5,1.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.0,0.0,0.0,0.0,1.0,4.3,0.0,0.0,-0.5,2.08,107.0,Forward,0,0,1,0
332,332,Daniel Gibson,Texas,42,2006-07,CLE,60,16.5,4.6,1.6,3.9,42.4,0.9,2.1,41.9,0.5,0.7,71.8,0.5,1.1,1.5,1.2,0.7,0.4,0.1,1.6,9.0,0.0,0.0,1.4,1.88,91.0,Guard,0,0,0,1
335,335,Alexander Johnson,Florida State,45,2006-07,MEM,59,12.8,4.4,1.5,2.9,53.8,0.0,0.0,0.0,1.3,2.0,66.1,0.8,2.2,3.1,0.3,0.8,0.4,0.6,2.3,10.8,3.0,0.0,-0.2,2.06,109.0,Forward,0,0,1,0
337,337,Paul Millsap,Louisiana Tech,47,2006-07,UTA,82,18.0,6.8,2.5,4.9,52.5,0.0,0.0,33.3,1.7,2.5,67.3,2.2,2.9,5.2,0.8,1.1,0.8,0.9,2.9,18.2,7.0,0.0,1.8,2.01,117.0,Forward,0,0,1,0
339,339,Leon Powe,California,49,2006-07,BOS,63,11.4,4.2,1.3,2.8,44.6,0.0,0.0,0.0,1.7,2.3,73.6,1.5,1.9,3.4,0.2,0.7,0.2,0.3,1.7,9.5,1.0,0.0,-0.6,2.03,109.0,Forward,0,0,1,0
349,349,Damir Markota,KK Cibona (Croatia),59,2006-07,MIL,30,5.7,1.7,0.6,1.7,36.5,0.2,0.5,37.5,0.2,0.4,63.6,0.4,0.7,1.0,0.2,0.5,0.1,0.0,0.7,3.1,0.0,0.0,-1.5,2.08,102.0,Forward,0,0,1,0
350,350,Will Blalock,Iowa State,60,2006-07,DET,14,11.8,1.8,0.6,2.1,30.0,0.1,0.4,20.0,0.4,0.4,100.0,0.4,0.6,1.1,1.2,0.9,0.4,0.0,0.6,5.1,0.0,0.0,-1.4,1.83,93.0,Guard,0,0,0,1
351,351,Greg Oden,Ohio State,1,2008-09,POR,61,21.5,8.9,3.2,5.8,56.4,0.0,0.0,0.0,2.4,3.7,63.7,2.8,4.2,7.0,0.5,1.4,0.4,1.1,3.9,21.2,16.0,0.0,2.8,2.13,124.0,Center,0,1,0,0
352,352,Kevin Durant,Texas,2,2007-08,SEA,80,34.6,20.3,7.3,17.1,43.0,0.7,2.6,28.8,4.9,5.6,87.3,0.9,3.5,4.4,2.4,2.9,1.0,0.9,1.5,32.0,1.0,0.0,-8.2,2.08,109.0,Forward,1,0,1,0
353,353,Al Horford,Florida,3,2007-08,ATL,81,31.4,10.1,4.1,8.2,49.9,0.0,0.1,0.0,1.9,2.6,73.1,3.1,6.6,9.7,1.5,1.7,0.7,0.9,3.3,27.4,25.0,0.0,-1.4,2.06,109.0,Center-Forward,0,1,1,0
354,354,Mike Conley,Ohio State,4,2007-08,MEM,53,26.1,9.4,3.6,8.3,42.8,0.6,1.7,33.0,1.7,2.3,73.2,0.4,2.2,2.6,4.2,1.7,0.8,0.0,1.6,19.8,2.0,0.0,-5.4,1.85,79.0,Guard,0,0,0,1
355,355,Jeff Green,Georgetown,5,2007-08,SEA,80,28.2,10.5,4.0,9.4,42.7,0.3,1.0,27.6,2.2,3.0,74.4,1.3,3.5,4.7,1.5,2.0,0.6,0.6,2.5,20.0,4.0,0.0,-6.4,2.03,107.0,Forward,0,0,1,0
