,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY
123,Josh Jackson,Kansas,4,2017-18,PHX,77,25.4,13.1,5.1,12.1,41.7,0.7,2.8,26.3,2.3,3.6,63.4,1.2,3.3,4.6,1.5,1.9,1.0,0.5,2.8,23.5,5,0,-6.9,2.03,94,Guard-Forward,0
124,De'Aaron Fox,Kentucky,5,2017-18,SAC,73,27.7,11.6,4.5,10.9,41.2,0.6,2.1,30.7,1.9,2.7,72.3,0.5,2.3,2.8,4.4,2.4,1.0,0.3,2.2,22.8,3,0,-5.7,1.91,84,Guard,0
125,Jonathan Isaac,Florida State,6,2017-18,ORL,27,19.8,5.4,2.0,5.4,37.9,0.6,1.7,34.8,0.7,0.9,76.0,0.6,3.1,3.7,0.7,1.0,1.2,1.1,1.8,16.8,0,0,-3.7,2.08,104,Forward,0
126,Lauri Markkanen,Arizona,7,2017-18,CHI,68,29.7,15.2,5.5,12.7,43.4,2.1,5.9,36.2,2.1,2.4,84.3,1.2,6.3,7.5,1.2,1.2,0.6,0.6,1.5,28.2,14,0,-5.7,2.11,109,Forward-Center,0
127,Frank Ntilikina,SIG Strasbourg (France),8,2017-18,NYK,78,21.9,5.9,2.3,6.4,36.4,0.6,2.0,31.8,0.6,0.9,72.1,0.5,1.8,2.3,3.2,1.7,0.8,0.2,2.3,15.0,1,0,-1.3,1.93,91,Guard,0
128,Dennis Smith Jr.,North Carolina State,9,2017-18,DAL,69,29.7,15.2,5.9,14.8,39.5,1.5,4.9,31.3,1.9,2.8,69.4,0.7,3.0,3.8,5.2,2.8,1.0,0.3,2.2,28.6,6,1,-4.7,1.88,93,NaN,0
129,Zach Collins,Gonzaga,10,2017-18,POR,66,15.8,4.4,1.7,4.4,39.8,0.5,1.7,31.0,0.4,0.6,64.3,0.7,2.7,3.3,0.8,0.9,0.3,0.5,2.0,10.9,0,0,0.2,2.11,113,Forward-Center,0
130,Malik Monk,Kentucky,11,2017-18,CHA,63,13.5,6.7,2.4,6.7,36.0,1.3,3.9,34.2,0.5,0.6,84.2,0.1,0.9,1.0,1.4,0.8,0.3,0.1,1.0,10.7,0,0,-3.0,1.91,91,Guard,0
131,Luke Kennard,Duke,12,2017-18,DET,73,20.0,7.6,2.8,6.4,44.3,1.1,2.7,41.5,0.9,1.0,85.5,0.3,2.1,2.4,1.7,0.9,0.6,0.2,1.2,14.5,1,0,1.6,1.96,93,Guard,0
132,Donovan Mitchell,Louisville,13,2017-18,UTA,79,33.4,20.5,7.5,17.2,43.7,2.4,7.0,34.0,3.0,3.8,80.5,0.7,3.1,3.7,3.7,2.7,1.5,0.3,2.7,33.3,0,0,4.5,1.85,98,Guard,0
133,Bam Adebayo,Kentucky,14,2017-18,MIA,69,19.8,6.9,2.5,4.9,51.2,0.0,0.1,0.0,1.9,2.6,72.1,1.7,3.8,5.5,1.5,1.0,0.5,0.6,2.0,18.0,7,0,-0.4,2.06,116,Center-Forward,0
134,Justin Jackson,North Carolina,15,2017-18,SAC,68,22.2,6.7,2.7,6.2,44.2,0.8,2.7,30.8,0.4,0.5,72.2,0.4,2.4,2.8,1.1,0.6,0.4,0.2,1.2,12.8,0,0,-3.5,2.03,100,NaN,0
135,Justin Patton,Creighton,16,2017-18,MIN,1,3.7,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0,0,3.0,2.11,109,NaN,0
136,D.J. Wilson,Michigan,17,2017-18,MIL,22,3.2,1.0,0.4,0.7,56.3,0.1,0.2,40.0,0.0,0.1,50.0,0.1,0.4,0.5,0.1,0.2,0.1,0.0,0.3,2.1,0,0,-1.9,2.08,105,Forward,0
137,T.J. Leaf,California-Los Angeles,18,2017-18,IND,53,8.7,2.9,1.2,2.6,47.1,0.3,0.8,42.9,0.2,0.3,62.5,0.5,1.0,1.5,0.2,0.2,0.1,0.1,0.8,5.4,0,0,-1.5,2.08,101,Forward,0
138,John Collins,Wake Forest,19,2017-18,ATL,74,24.1,10.5,4.2,7.4,57.6,0.2,0.6,34.0,1.8,2.5,71.5,2.4,4.9,7.3,1.3,1.4,0.6,1.1,2.9,25.0,11,0,-3.0,2.06,103,Forward-Center,0
139,Harry Giles III,Duke,20,2018-19,SAC,58,14.1,7.0,3.0,6.0,50.3,0.0,0.1,0.0,1.0,1.6,63.7,1.1,2.7,3.8,1.5,1.3,0.5,0.4,2.6,15.3,0,0,-1.8,2.11,109,Forward-Center,0
140,Terrance Ferguson,Adelaide 36ers (Australia),21,2017-18,OKC,61,12.5,3.1,1.1,2.8,41.4,0.7,2.0,33.3,0.1,0.2,90.0,0.3,0.5,0.8,0.3,0.2,0.4,0.2,1.4,6.0,0,0,-1.4,1.98,86,NaN,0
141,Jarrett Allen,Texas,22,2017-18,BKN,72,20.0,8.2,3.3,5.5,58.9,0.1,0.2,33.3,1.6,2.0,77.6,2.0,3.4,5.4,0.7,1.1,0.4,1.2,2.0,19.3,4,0,-2.0,2.08,110,Center,0
142,OG Anunoby,Indiana,23,2017-18,TOR,74,20.0,5.9,2.2,4.7,47.1,1.0,2.7,37.1,0.5,0.8,62.9,0.6,1.9,2.5,0.7,0.6,0.7,0.2,1.8,12.1,0,0,4.0,2.01,105,Forward,0
143,Tyler Lydon,Syracuse,24,2017-18,DEN,1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.0,2.08,102,Forward,0
144,Anzejs Pasecniks,CB Gran Canaria (Spain),25,2019-20,WAS,27,16.2,5.8,2.3,4.3,52.6,0.0,0.1,0.0,1.3,2.1,58.6,1.6,2.4,4.0,0.7,0.9,0.3,0.4,2.8,13.0,0,0,-0.1,2.16,104,NaN,0
145,Caleb Swanigan,Purdue,26,2017-18,POR,27,7.0,2.3,0.9,2.2,40.0,0.0,0.3,12.5,0.4,0.7,66.7,0.6,1.4,2.0,0.5,0.7,0.2,0.1,1.4,5.7,0,0,-0.4,2.06,118,Forward,0
146,Kyle Kuzma,Utah,27,2017-18,LAL,77,31.2,16.1,6.1,13.5,45.0,2.1,5.6,36.6,1.9,2.7,70.7,1.1,5.1,6.3,1.8,1.8,0.6,0.4,2.1,27.8,17,0,-1.6,2.06,100,Forward,0
147,Tony Bradley,North Carolina,28,2017-18,UTA,9,3.2,0.9,0.3,1.2,27.3,0.0,0.1,0.0,0.2,0.2,100,0.4,0.8,1.2,0.1,0.0,0.0,0.0,0.1,2.5,0,0,0.1,2.08,112,Center-Forward,0
148,Derrick White,Colorado,29,2017-18,SAS,17,8.2,3.2,0.9,1.9,48.5,0.5,0.8,61.5,0.8,1.2,70.0,0.3,1.2,1.5,0.5,0.4,0.2,0.2,0.5,6.7,0,0,1.8,1.93,86,Guard,0
149,Josh Hart,Villanova,30,2017-18,LAL,63,23.2,7.9,2.8,6.0,46.9,1.2,3.1,39.6,1.0,1.5,70.2,0.7,3.5,4.2,1.3,0.7,0.7,0.3,1.7,17.0,8,0,-1.1,1.96,98,Guard,0
150,Frank Jackson,Duke,31,2018-19,NOP,61,19.2,8.1,3.2,7.3,43.4,0.9,2.8,31.4,0.9,1.2,74.0,0.4,1.8,2.2,1.1,0.8,0.4,0.0,1.5,13.0,0,0,-2.2,1.91,93,Guard,0
151,Davon Reed,Miami (FL),32,2017-18,PHX,21,11.5,3.0,1.0,3.6,28.9,0.5,1.8,28.9,0.4,0.6,66.7,0.1,1.8,1.9,0.6,0.5,0.5,0.1,0.8,7.4,0,0,-3.6,1.96,93,Guard,0
152,Wes Iwundu,Kansas State,33,2017-18,ORL,62,16.5,3.7,1.5,3.5,42.7,0.1,0.7,19.6,0.5,0.8,72.3,0.6,1.6,2.2,0.9,0.5,0.5,0.2,1.3,9.4,0,0,-1.7,1.98,88,NaN,0
153,Frank Mason III,Kansas,34,2017-18,SAC,52,18.9,7.9,2.8,7.3,37.9,0.6,1.7,36.0,1.8,2.2,81.7,0.6,1.9,2.5,2.8,1.3,0.7,0.2,1.4,16.5,0,0,-0.7,1.80,86,NaN,0
154,Ivan Rabb,California,35,2017-18,MEM,36,14.3,5.6,2.4,4.2,56.6,0.0,0.0,0.0,0.8,1.0,80.6,1.5,2.9,4.4,0.9,1.0,0.3,0.4,1.5,13.3,3,0,-2.7,2.08,100,Forward,0
155,Jonah Bolden,Red Star Belgrade (Serbia),36,2018-19,PHI,44,14.5,4.7,1.8,3.7,49.4,0.8,2.2,35.4,0.3,0.6,48.1,1.1,2.7,3.8,0.9,0.8,0.4,0.9,2.3,13.6,1,0,-0.7,2.03,102,NaN,0
156,Semi Ojeleye,Southern Methodist,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.98,109,Forward,0
157,Jordan Bell,Oregon,38,2017-18,GSW,57,14.2,4.6,2.0,3.2,62.7,0.0,0.1,0.0,0.5,0.8,68.2,1.1,2.6,3.6,1.8,0.9,0.6,1.0,1.6,15.5,1,0,2.8,2.01,98,NaN,0
158,Jawun Evans,Oklahoma State,39,2017-18,LAC,48,16.2,4.8,1.9,5.3,35.2,0.3,1.1,27.8,0.8,1.0,77.6,0.2,1.6,1.8,2.1,0.9,0.8,0.1,2.0,11.7,0,0,0.2,1.83,86,Guard,0
159,Dwayne Bacon,Florida State,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
160,Tyler Dorsey,Oregon,41,2017-18,ATL,56,17.4,7.2,2.6,6.8,37.7,1.3,3.6,36.2,0.8,1.1,71.4,0.3,2.0,2.3,1.4,0.7,0.3,0.1,1.1,12.7,0,0,-2.7,1.96,83,Guard,0
161,Thomas Bryant,Indiana,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
162,Isaiah Hartenstein,BC Zalgiris (Lithuania),43,2018-19,HOU,28,7.9,1.9,0.7,1.5,48.8,0.1,0.2,33.3,0.4,0.5,78.6,0.8,0.9,1.7,0.5,0.5,0.3,0.4,2.0,6.3,0,0,1.4,2.13,113,Center-Forward,0
163,Damyean Dotson,Houston,44,2017-18,NYK,44,10.8,4.1,1.6,3.7,44.7,0.5,1.5,32.4,0.4,0.5,69.6,0.2,1.7,1.9,0.7,0.4,0.3,0.0,0.8,8.1,2,0,-0.9,1.96,95,NaN,0
164,Dillon Brooks,Oregon,45,2017-18,MEM,82,28.7,11.0,4.1,9.4,44.0,1.1,3.2,35.6,1.5,2.0,74.7,0.6,2.5,3.1,1.6,1.5,0.9,0.2,2.8,19.0,0,0,-3.0,2.01,102,Guard-Forward,0
165,Sterling Brown,Southern Methodist,46,2017-18,MIL,54,14.4,4.0,1.5,3.8,40.0,0.6,1.7,35.2,0.4,0.4,87.5,0.5,2.1,2.6,0.5,0.5,0.6,0.2,1.5,9.9,0,0,-0.9,1.96,99,Guard-Forward,0
166,Ike Anigbogu,California-Los Angeles,47,2017-18,IND,11,2.7,1.2,0.4,0.8,44.4,0.0,0.0,0.0,0.5,0.5,83.3,0.5,0.4,0.8,0.0,0.2,0.1,0.3,0.1,3.1,0,0,-1.3,2.08,113,NaN,0
167,Sindarius Thornwell,South Carolina,48,2017-18,LAC,73,15.8,3.9,1.4,3.2,42.9,0.3,0.8,37.7,0.8,1.2,67.0,0.5,1.5,1.9,0.9,0.7,0.7,0.3,1.7,9.8,0,0,-1.4,1.93,98,Guard,0
168,Vlatko Cancar,KK Mega Leks (Serbia),49,2019-20,DEN,14,3.2,1.2,0.4,1.1,40.0,0.1,0.4,16.7,0.3,0.3,100,0.4,0.4,0.7,0.2,0.2,0.1,0.1,0.5,2.6,0,0,-0.6,2.03,107,Forward,0
169,Mathias Lessort,Nanterre 92 (France),50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
170,Monte Morris,Iowa State,51,2017-18,DEN,3,8.4,3.3,1.3,2.0,66.7,0.0,0.3,0.0,0.7,0.7,100,0.0,0.7,0.7,2.3,0.3,1.0,0.0,0.3,10.3,0,0,-2.3,1.88,83,Guard,0
171,Edmond Sumner,Xavier,52,2017-18,IND,1,2.2,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.2,0,0,-6.0,1.93,89,Guard,0
172,Kadeem Allen,Arizona,53,2017-18,BOS,18,6.0,1.1,0.3,1.2,27.3,0.0,0.6,0.0,0.4,0.5,77.8,0.2,0.4,0.6,0.7,0.5,0.2,0.1,0.8,3.1,0,0,-1.1,1.85,91,NaN,0
173,Alec Peters,Valparaiso,54,2017-18,PHX,20,11.2,4.1,1.4,3.7,37.8,0.9,2.9,31.0,0.4,0.5,80.0,0.4,1.5,1.9,0.6,0.2,0.1,0.1,0.7,7.6,0,0,1.8,2.06,107,Forward,0
174,Nigel Williams-Goss,Gonzaga,55,2019-20,UTA,10,5.0,1.4,0.5,1.6,31.3,0.2,0.7,28.6,0.2,0.2,100,0.2,0.4,0.6,0.6,0.3,0.3,0.1,0.6,3.9,0,0,0.3,1.88,86,Guard,0
175,Jabari Bird,California,56,2017-18,BOS,13,8.8,3.0,1.2,2.0,57.7,0.2,0.5,42.9,0.5,1.0,46.2,0.5,1.0,1.5,0.6,0.6,0.2,0.1,0.5,6.0,0,0,1.4,1.98,90,Guard,0
176,Aleksandar Vezenkov,FC Barcelona Basquet (Spain),57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
177,Ognjen Jaramaz,KK Mega Leks (Serbia),58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
178,Jaron Blossomgame,Clemson,59,2018-19,CLE,27,16.3,4.2,1.7,3.9,44.3,0.4,1.4,25.6,0.4,0.5,76.9,1.0,2.7,3.6,0.5,0.4,0.3,0.3,0.7,10.6,1,0,-1.6,2.03,100,Forward,0
179,Alpha Kaba,KK Mega Leks (Serbia),60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
180,Deandre Ayton,Arizona,1,2018-19,PHX,71,30.7,16.3,7.2,12.3,58.5,0.0,0.1,0.0,2.0,2.7,74.6,3.1,7.1,10.3,1.8,1.8,0.9,0.9,2.9,34.9,39,0,-5.4,2.11,113,Center,0
181,Marvin Bagley III,Duke,2,2018-19,SAC,62,25.3,14.9,5.7,11.4,50.4,0.5,1.5,31.3,2.9,4.2,69.1,2.6,5.0,7.6,1.0,1.6,0.5,1.0,1.9,28.4,19,0,-1.7,2.11,107,Forward,0
182,Luka Doncic,Real Madrid Baloncesto (Spain),3,2018-19,DAL,72,32.2,21.2,7.0,16.5,42.7,2.3,7.1,32.7,4.8,6.7,71.3,1.2,6.6,7.8,6.0,3.4,1.1,0.3,1.9,40.3,24,8,-1.6,2.01,104,Forward-Guard,1
183,Jaren Jackson Jr.,Michigan State,4,2018-19,MEM,58,26.1,13.8,5.1,10.2,50.6,0.9,2.4,35.9,2.6,3.4,76.6,1.3,3.4,4.7,1.1,1.7,0.9,1.4,3.8,26.3,2,0,-1.8,2.11,110,Forward-Center,0
184,Trae Young,Oklahoma,5,2018-19,ATL,81,30.9,19.1,6.5,15.5,41.8,1.9,6.0,32.4,4.2,5.1,82.9,0.8,2.9,3.7,8.1,3.8,0.9,0.2,1.7,35.1,30,1,-4.1,1.85,74,Guard,0
185,Mo Bamba,Texas,6,2018-19,ORL,47,16.3,6.2,2.5,5.2,48.1,0.4,1.5,30.0,0.8,1.3,58.7,1.4,3.6,5.0,0.8,0.9,0.3,1.4,2.2,17.4,1,0,-5.1,2.13,105,Center,0
186,Wendell Carter Jr.,Duke,7,2018-19,CHI,44,25.2,10.3,4.1,8.4,48.5,0.1,0.7,18.8,2.0,2.5,79.5,2.0,5.0,7.0,1.8,1.5,0.6,1.3,3.5,25.6,7,0,-6.6,2.08,122,Center-Forward,0
187,Collin Sexton,Alabama,8,2018-19,CLE,82,31.8,16.7,6.3,14.7,43.0,1.5,3.6,40.2,2.6,3.1,83.9,0.7,2.2,2.9,3.0,2.3,0.5,0.1,2.3,24.2,2,0,-8.2,1.85,86,Guard,0
188,Kevin Knox II,Kentucky,9,2018-19,NYK,75,28.8,12.8,4.5,12.2,37.0,1.7,4.9,34.3,2.2,3.0,71.7,0.8,3.7,4.5,1.1,1.5,0.6,0.3,2.3,21.0,3,0,-8.5,2.01,98,Forward,0
189,Mikal Bridges,Villanova,10,2018-19,PHX,82,29.5,8.3,3.0,6.9,43.0,1.3,3.8,33.5,1.2,1.4,80.5,0.7,2.5,3.2,2.1,0.9,1.6,0.5,2.5,20.6,0,0,-4.7,1.98,95,Forward,0
190,Shai Gilgeous-Alexander,Kentucky,11,2018-19,LAC,82,26.5,10.8,4.2,8.7,47.6,0.6,1.7,36.7,1.9,2.4,80.0,0.7,2.1,2.8,3.3,1.7,1.2,0.5,2.1,22.6,1,0,-1.3,1.98,82,Guard,0
191,Miles Bridges,Michigan State,12,2018-19,CHA,80,21.2,7.5,3.0,6.4,46.4,0.8,2.5,32.5,0.7,1.0,75.3,0.8,3.2,4.0,1.2,0.6,0.7,0.6,1.4,17.4,1,0,-1.6,2.01,102,Forward,0
192,Jerome Robinson,Boston College,13,2018-19,LAC,33,9.7,3.4,1.3,3.3,40.0,0.5,1.7,31.6,0.2,0.3,66.7,0.1,1.2,1.2,0.6,0.4,0.3,0.1,1.4,6.6,0,0,-0.7,1.93,86,NaN,0
193,Michael Porter Jr.,Missouri,14,2019-20,DEN,55,16.4,9.3,3.5,7.0,50.9,1.1,2.7,42.2,1.1,1.3,83.3,1.2,3.5,4.7,0.8,0.9,0.5,0.5,1.8,18.2,9,0,0.4,2.08,99,Forward,0
194,Troy Brown Jr.,Oregon,15,2018-19,WAS,52,14.0,4.8,1.9,4.5,41.5,0.4,1.3,31.9,0.6,0.9,68.1,0.7,2.1,2.8,1.5,0.6,0.4,0.1,1.1,11.3,0,0,0.0,1.98,98,Guard-Forward,0
195,Zhaire Smith,Texas Tech,16,2018-19,PHI,6,18.4,6.7,2.3,5.7,41.2,1.0,2.7,37.5,1.0,1.3,75.0,0.5,1.7,2.2,1.7,1.0,0.3,0.3,1.3,12.8,0,0,2.3,1.91,93,Guard,0
196,Donte DiVincenzo,Villanova,17,2018-19,MIL,27,15.2,4.9,1.9,4.6,40.3,0.8,3.1,26.5,0.3,0.4,75.0,0.6,1.8,2.4,1.1,0.7,0.5,0.2,1.4,10.9,0,0,4.0,1.93,92,Guard,0
197,Lonnie Walker IV,Miami (FL),18,2018-19,SAS,17,6.9,2.6,0.9,2.7,34.8,0.3,0.8,38.5,0.5,0.6,80.0,0.0,1.0,1.0,0.5,0.2,0.4,0.2,0.4,6.2,0,0,-3.2,1.93,93,Guard-Forward,0
198,Kevin Huerter,Maryland,19,2018-19,ATL,75,27.3,9.7,3.7,8.8,41.9,1.8,4.7,38.5,0.5,0.7,73.2,0.8,2.5,3.3,2.9,1.5,0.9,0.3,2.1,20.0,1,0,-1.6,2.01,90,Guard-Forward,0
199,Josh Okogie,Georgia Tech,20,2018-19,MIN,74,23.7,7.7,2.6,6.9,38.6,0.8,2.9,27.9,1.6,2.2,72.8,0.6,2.4,2.9,1.2,0.9,1.2,0.4,2.2,17.1,1,0,-0.7,1.93,97,Guard,0
200,Grayson Allen,Duke,21,2018-19,UTA,38,11.0,5.6,1.8,4.7,37.6,0.8,2.6,32.3,1.2,1.6,75.0,0.1,0.5,0.6,0.7,0.9,0.2,0.2,1.2,7.3,0,0,-3.1,1.93,90,Guard,0
201,Chandler Hutchison,Boise State,22,2018-19,CHI,44,20.3,5.2,2.2,4.8,45.9,0.3,1.1,28.0,0.5,0.9,60.5,0.7,3.5,4.2,0.8,0.6,0.5,0.1,1.3,12.8,1,0,-2.6,1.98,95,Forward-Guard,0
202,Aaron Holiday,California-Los Angeles,23,2018-19,IND,50,12.9,5.9,2.1,5.2,40.1,0.9,2.5,33.9,0.8,1.0,82.0,0.1,1.2,1.3,1.7,0.8,0.4,0.3,1.4,11.3,0,0,2.0,1.83,84,Guard,0
203,Anfernee Simons,IMG Academy,24,2018-19,POR,20,7.0,3.8,1.4,3.2,44.4,0.5,1.5,34.5,0.5,0.8,56.3,0.2,0.5,0.7,0.7,0.6,0.1,0.0,0.5,5.1,0,0,-2.6,1.91,82,Guard,0
204,Moritz Wagner,Michigan,25,2018-19,LAL,43,10.4,4.8,1.7,4.0,41.5,0.5,1.8,28.6,1.0,1.2,81.1,0.4,1.6,2.0,0.6,0.9,0.3,0.3,1.3,8.8,0,0,-2.3,2.11,111,Forward-Center,0
205,Landry Shamet,Wichita State,26,2018-19,PHI,54,20.5,8.3,2.8,6.4,44.1,1.8,4.5,40.4,0.8,1.0,81.5,0.3,1.2,1.4,1.1,0.5,0.4,0.1,2.0,13.0,0,0,-0.6,1.93,86,Guard,0
206,Robert Williams III,Texas A&M,27,2018-19,BOS,32,8.8,2.5,1.1,1.6,70.6,0.0,0.0,0.0,0.3,0.5,60.0,0.8,1.7,2.5,0.2,0.3,0.3,1.3,1.1,10.2,0,0,-1.6,2.06,108,Center-Forward,0
207,Jacob Evans,Cincinnati,28,2018-19,GSW,30,6.8,1.3,0.6,1.8,34.0,0.1,0.5,26.7,0.0,0.0,0.0,0.2,0.6,0.8,0.8,0.4,0.2,0.1,0.9,3.9,0,0,-1.2,1.93,95,Guard-Forward,0
208,Dzanan Musa,KK Cedevita (Croatia),29,2018-19,BKN,9,4.4,2.1,1.0,2.4,40.9,0.1,1.1,10.0,0.0,0.2,0.0,0.1,0.4,0.6,0.2,0.4,0.2,0.0,0.1,3.3,0,0,1.1,2.06,98,Guard-Forward,0
209,Omari Spellman,Villanova,30,2018-19,ATL,46,17.5,5.9,2.1,5.3,40.2,1.0,2.8,34.4,0.7,1.0,71.1,1.6,2.7,4.2,1.0,0.7,0.6,0.5,1.5,15.2,4,0,-4.4,2.03,111,Forward,0
210,Elie Okobo,Elan Bearnais Pau-Orthez (France),31,2018-19,PHX,53,18.1,5.7,2.2,5.5,39.3,0.7,2.5,29.5,0.7,0.9,78.7,0.2,1.6,1.8,2.4,1.3,0.6,0.1,2.1,12.5,0,0,-4.0,1.91,86,Forward-Guard,0
211,Jevon Carter,West Virginia,32,2018-19,MEM,39,14.8,4.4,1.4,4.7,30.3,0.9,2.6,33.3,0.7,0.8,81.3,0.4,1.3,1.7,1.8,0.8,0.7,0.3,1.4,11.1,0,0,-2.3,1.85,91,Guard,0
212,Jalen Brunson,Villanova,33,2018-19,DAL,73,21.8,9.3,3.6,7.7,46.7,0.9,2.5,34.8,1.2,1.6,72.5,0.3,2.0,2.3,3.2,1.2,0.5,0.1,1.7,17.3,3,0,-1.1,1.85,86,Guard,0
213,Devonte' Graham,Kansas,34,2018-19,CHA,46,14.7,4.7,1.6,4.7,34.3,0.7,2.6,28.1,0.8,1.0,76.1,0.2,1.2,1.4,2.6,0.7,0.5,0.0,1.0,11.3,0,0,-2.2,1.85,88,Guard,0
214,Melvin Frazier,Tulane,35,2018-19,ORL,10,4.4,1.5,0.7,2.1,33.3,0.0,0.6,0.0,0.1,0.4,25.0,0.3,0.2,0.5,0.1,0.1,0.1,0.0,0.6,2.5,0,0,-0.9,1.96,98,Guard-Forward,0
215,Mitchell Robinson,,36,2018-19,NYK,66,20.6,7.3,3.1,4.4,69.4,0.0,0.0,0.0,1.2,2.0,60.0,2.7,3.7,6.4,0.6,0.5,0.8,2.4,3.3,25.0,11,0,-3.1,2.13,109,Center-Forward,0
216,Gary Trent Jr.,Duke,37,2018-19,POR,15,7.4,2.7,1.1,3.3,32.0,0.3,1.4,23.8,0.2,0.5,42.9,0.1,0.7,0.7,0.3,0.3,0.1,0.1,0.3,4.4,0,0,-0.5,1.96,95,Guard-Forward,0
217,Khyri Thomas,Creighton,38,2018-19,DET,26,7.5,2.3,0.8,2.7,31.9,0.4,1.3,28.6,0.3,0.4,63.6,0.2,0.6,0.8,0.3,0.2,0.3,0.2,0.8,5.0,0,0,-1.3,1.91,95,Guard,0
218,Isaac Bonga,Fraport Skyliners (Germany),39,2018-19,LAL,22,5.5,0.9,0.2,1.5,15.2,0.0,0.4,0.0,0.4,0.7,60.0,0.4,0.7,1.1,0.7,0.3,0.4,0.2,0.4,4.8,0,0,0.6,2.03,82,Guard,0
219,Rodions Kurucs,FC Barcelona Basquet (Spain),40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
220,Jarred Vanderbilt,Kentucky,41,2018-19,DEN,17,4.1,1.4,0.5,1.1,47.4,0.0,0.1,0.0,0.4,0.6,60.0,0.4,0.9,1.4,0.2,0.5,0.4,0.1,0.5,4.1,0,0,0.6,2.06,97,Forward,0
221,Bruce Brown,Miami (FL),42,2018-19,DET,74,19.6,4.3,1.7,4.2,39.8,0.3,1.3,25.8,0.6,0.8,75.0,0.6,1.9,2.5,1.2,0.6,0.5,0.5,2.4,11.6,0,0,-0.1,1.93,92,Guard-Forward,0
222,Justin Jackson,Maryland,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
223,Issuf Sanon,KK Olimpija (Slovenia),44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
224,Hamidou Diallo,Kentucky,45,2018-19,OKC,51,10.3,3.7,1.5,3.2,45.5,0.1,0.5,16.7,0.7,1.2,61.0,0.7,1.2,1.9,0.3,0.5,0.4,0.2,1.5,7.9,0,0,-1.5,1.96,92,Guard,0
225,De'Anthony Melton,Southern California,46,2018-19,PHX,50,19.7,5.0,2.0,5.1,39.1,0.6,1.9,30.5,0.4,0.6,75.0,0.5,2.2,2.7,3.2,1.5,1.4,0.5,2.3,16.9,0,0,-3.4,1.88,91,Guard,0
226,Svi Mykhailiuk,Kansas,47,2018-19,LAL,39,10.8,3.3,1.1,3.4,33.3,0.7,2.2,31.8,0.3,0.5,60.0,0.2,0.7,0.9,0.8,0.5,0.3,0.0,0.6,6.1,0,0,0.1,2.01,93,Guard-Forward,0
