,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY
50,Tyler Harvey,Eastern Washington,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
51,Satnam Singh,IMG Academy,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
52,Sir'Dominic Pointer,St. John's (NY),53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
53,Daniel Diez,San Sebastian Gipuzkoa BC (Spain),54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
54,Cady Lalanne,Massachusetts,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
55,Branden Dawson,Michigan State,56,2015-16,LAC,6,4.8,0.8,0.3,0.8,40.0,0.0,0.0,0.0,0.2,0.2,100,0.3,0.3,0.7,0.0,0.0,0.0,0.2,0.3,2.1,0,0,-2.5,1.98,102,Forward,0
56,Nikola Radicevic,CB Sevilla (Spain),57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
57,JP Tokoto,North Carolina,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
58,Dimitrios Agravanis,Olympiacos B.C. (Greece),59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
59,Luka Mitrovic,Red Star Belgrade (Serbia),60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
60,Ben Simmons,Louisiana State,1,2017-18,PHI,81,33.7,15.8,6.7,12.3,54.5,0.0,0.1,0.0,2.4,4.2,56.0,1.8,6.3,8.1,8.2,3.4,1.7,0.9,2.6,42.1,38,12,4.8,2.11,109,Guard-Forward,1
61,Brandon Ingram,Duke,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
62,Jaylen Brown,California,3,2016-17,BOS,78,17.2,6.6,2.5,5.4,45.5,0.6,1.7,34.3,1.1,1.6,68.5,0.6,2.2,2.8,0.8,0.9,0.4,0.2,1.8,12.4,0,0,-1.6,1.98,101,Guard-Forward,0
63,Dragan Bender,Maccabi Tel Aviv B.C. (Israel),4,2016-17,PHX,43,13.3,3.4,1.3,3.7,35.4,0.7,2.3,27.7,0.1,0.3,36.4,0.5,1.9,2.4,0.5,0.7,0.2,0.5,1.7,8.6,1,0,-0.6,2.13,113,NaN,0
64,Kris Dunn,Providence,5,2016-17,MIN,78,17.1,3.8,1.5,4.0,37.7,0.3,0.9,28.8,0.5,0.8,61.0,0.3,1.8,2.1,2.4,1.1,1.0,0.5,2.3,13.2,1,0,-1.7,1.91,93,NaN,0
65,Buddy Hield,Oklahoma,6,2016-17,NOP,57,20.4,8.6,3.2,8.3,39.3,1.6,4.2,36.9,0.5,0.6,87.9,0.3,2.6,2.9,1.4,0.8,0.3,0.1,1.4,14.6,0,0,-2.6,1.93,100,Guard,0
66,Jamal Murray,Kentucky,7,2016-17,DEN,82,21.5,9.9,3.6,8.9,40.4,1.4,4.2,33.4,1.3,1.5,88.3,0.5,2.1,2.6,2.1,1.4,0.6,0.3,1.5,17.5,1,0,0.9,1.91,98,Guard,0
67,Marquese Chriss,Washington,8,2016-17,PHX,82,21.3,9.2,3.5,7.7,44.9,0.9,2.7,32.1,1.4,2.2,62.4,1.2,3.1,4.2,0.7,1.3,0.8,0.9,3.2,19.1,3,0,-4.7,2.06,109,Forward,0
68,Jakob Poeltl,Utah,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
69,Thon Maker,,10,2016-17,MIL,57,9.9,4.0,1.5,3.2,45.9,0.5,1.3,37.8,0.6,0.9,65.3,0.7,1.3,2.0,0.4,0.3,0.2,0.5,1.5,8.6,0,0,-0.5,2.13,100,NaN,0
70,Domantas Sabonis,Gonzaga,11,2016-17,OKC,81,20.1,5.9,2.4,5.9,39.9,0.6,2.0,32.1,0.5,0.8,65.7,0.6,3.0,3.6,1.0,1.0,0.5,0.4,2.5,13.3,2,0,0.2,2.11,109,Forward-Center,0
71,Taurean Prince,Baylor,12,2016-17,ATL,59,16.6,5.7,1.9,4.8,40.0,0.6,1.7,32.4,1.3,1.6,78.7,0.4,2.2,2.7,0.9,1.0,0.7,0.5,1.6,12.8,0,0,-0.5,1.98,99,Forward,0
